    2023 GRI content index,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
,"403-2 Hazard identification, risk assessment, and incident investigation","The Woolworths Group Safety & Health Standards set the requirements for hazard identification and risk assessment for routine and non-routine activities; along with Incident management (including investigation). 
 
Risk management processes including hazard identification, risk assessments, workplace inspections and incident reporting which seek input and involvement from team members and contractors. Team members are also trained to identify, assess, control (where possible) and report hazards they observe. Hazards are assessed using the Woolworths Group enterprise risk matrix for health and safety to determine the risk (rating) they pose based on the potential consequence (severity of harm) and the likelihood that harm will occur. Risks are escalated to different levels of the organisation based on their rating.
 
As part of our annual strategy and planning cycle, Woolworths Group Safety, Health and Wellbeing completes a risk review of our operations to identify hazards, assess risks and identify where existing controls can be strengthened or new controls can be implemented by applying the hierarchy of controls. Hazard and incident data, risk assessments, safety investigations, changes in our operations, legislation, codes of practice, standards and industry knowledge are considered as part of the review. Outputs of the review are included within Woolworths Group Annual Strategic Plan (Strategy) along with Business Unit specific plans focused on risk management.

Woolworths encourages team members, contractors and customers to report hazards and to stop work when they feel their safety is at risk. The Woolworths Code of Conduct includes our commitments to safety for our team and highlights that they must always, and have our full support to: always address hazards as they become aware of them, and immediately stop any job or task that they believe is unsafe.  Team members have many ways in which they can report work-related hazards and hazardous situations. They include: 
 - directly to their line manager 
 - engagement of their Health and Safety Representative / Safety team member 
 - using the ‘Pulse’ hazard reporting program 
 - through programmed hazard inspection activities 
 - using the health and safety issue resolution process 
 - anonymously through the Speak Up program 

Business units have issue resolution process, safety and health representation/safety team member and arrangements to assist where needed. This protects team members from reprisals. Regulators and team member representatives can be invited into the issue resolution process at any stage. 
 
 The Group Speak Up process enables anonymous reporting preventing any possibility of reprisal against team members. 

The Safety, Health and Wellbeing (SH&W) Management System includes a procedure to investigate SH&W incidents, with the level of investigation being guided based on the severity of the incident. Investigations on more significant incidents (Category 1 and 2 incidents) are required to identify the root cause and any contributing factors of work-related incidents (incorporating appropriate investigation methodologies) and implement and track the completion of corrective actions. 
 
 Risk control measures in accordance with the hierarchy of controls and legal requirements are reviewed during the investigation process. Investigations: 
 - are undertaken by competent team members in accordance with our procedure 
 - identify the factor(s) that led to the injury, illness, incident or other system failure 
 - review the identified hazards, assessed risks and effectiveness of the control measures 
 - recommend appropriate control measures and corrective actions 
 
Corrective actions are determined in consultation with affected team members (including affected contractors and other persons), implemented in a timely manner, and assessed for their effectiveness. Incident, injury and illness data including investigation findings, hazards and risk assessments are captured in a safety incident management system. This data is reviewed regularly to identify any emerging trends and implement required improvement actions in the Safety and Health Management System.  Incidents with high potential are reviewed at a Group level to ensure learnings and any group wide actions (where needed) are undertaken.  ",,,,,,,,,,,,,,,,,,,,,,,
,403-3 Occupational health services,"We provide various occupational health service functions to support the health, safety and wellbeing of our team members and contractors. We utilise the services of ergonomists, physiologists and physiotherapists, psychologists, and occupational health nurses, and other allied health specialists as required, to assist with identification and management of health and safety risks that may impact the health and wellbeing of our team members and contractors. The way these services are utilised varies by business, based on type of activities and risk exposures. Woolworths ensures the quality of the services by using independent occupational health service providers with recognised qualifications and accreditations. 

Where applicable, team members are provided with time off their normal work tasks to consult with occupational health services such as for health assessment and treatment. We offer open access for our team members and contractors to confidential counselling and support services through our employee assistance program via Sonder.",,,,,,,,,,,,,,,,,,,,,,,
,"403-4 Worker participation, consultation, and communication on occupational health and safety","Team members, safety committees and team members representatives (Unions) are consulted on and participate in safety, health & wellbeing (SH&W)  matters including the development, and evaluation of the Safety, Health & Wellbeing Management Systems. The requirements for communication and consultation in relation to SH&W  matters are set out in the Group Safety & Health Standards. 
 
Communication and consultation occurs through a number of forums, for example SH&W committees, team talks, internal communications, union communications, workplace inspections, audits, safety alerts, surveys and feedback forms. 
 
Each business has consultative arrangements. There are procedures agreed to by team members and management outlining their involvement and consultation in health and safety matters and issues. 
 
 Some businesses have Health and Safety Representative (HSR) arrangements, and some have other consultative arrangements such as safety committees and store safety leads. 
 
The HSR or safety committees/store safety leads and/or other team members participate in assessment and control of risks, health and safety training, workplace inspections and hazard identification, committee meetings, accident/incident investigations, development, implementation and review of procedures. 
 
The consultation arrangements, including meeting frequency differs in each business. They range from monthly, bi-monthly to quarterly. 
 
 All team members, including HSR’s and safety committee members have the authority to stop work if they think a task or process is unsafe. HSR’s have the additional authority to issue provisional improvement notices to the business.",,,,,,,,,,,,,,,,,,,,,,,
,403-5 Worker training on occupational health and safety,"Each business completes an analysis of the safety and health training or skills that each role requires to safely fulfil the responsibilities assigned to them and then builds a documented training plan which outlines areas such as legislative, formal, on the job and refresher training requirements. The plan is implemented so that team members are trained (as appropriate) to perform their work safely. 
 
 Training is delivered using a variety of methods including classroom and on-the-job learning, simulators and online learning depending on the needs of the participant and the type of content being delivered. Training may cover areas such as hazard awareness, risk management, incident investigation, task and job related skills and safe operating procedures for equipment. Team members are provided time during their paid work day to complete required training. Required training is provided to team members free of charge. 
 
 Training may be delivered by registered training organisations or in-house depending on the content, and is designed and delivered at a level suitable for team members. Competency assessment requirements are defined based on the risks involved and any relevant legislative or industry requirements. Training effectiveness is reviewed on a regular basis and considers any relevant incident history or new information about a risk.",,,,,,,,,,,,,,,,,,,,,,,
,403-6 Promotion of worker health,"Woolworths offers a range of services to team members to access to occupational medical and healthcare services such as physiotherapy services, access to onsite gym and wellness centres and psychological support and counselling services through the Sonder program, discounted health and insurance memberships. 
 
 The Woolworths Wellbeing Portal is an internal online site that is available to all team members and provides support covering physical, mental, career and spiritual wellbeing. Other support services are provided including smoking cessation, addiction counselling, financial wellbeing programs, and other health programs.",,,,,,,,,,,,,,,,,,,,,,,
,403-7 Prevention and mitigation of occupational health and safety impacts directly linked by business relationships,"Woolworths has in place policies, standards and processes to address occupational safety, health & wellbeing risks posed by our business relationships including with suppliers and contract partners both locally and globally. 
 
 Our Responsible Sourcing Policy details our commitment and expectations for suppliers whom we have a direct relationship with for goods and/or services we sell or use in our businesses. We require our suppliers to abide by our Responsible Sourcing Standards which includes comprehensive criteria on business integrity, labour rights, fair and safe working conditions and environmental compliance. The standards specifically call out requirements to prevent and mitigate significant negative occupational health and safety impacts, including but not limited to complying with relevant local laws and regulations. Where there is a gap between our requirements and standards and the local laws, rules and regulations, the more stringent requirements and standards apply. 
 
 Our Woolworths Contractor Safety RIsk Management program manages contractors who undertake activities.  Our Contractor Safety Risk Management  program adopts a risk-based approach to categorise and manage contractors based on the work they perform on our sites.  We pre-qualify contractors, based on risk, which may rquire self- assessment, requesting policies, procedures or records , desktop review or a formal audit.  The program includes ongoing monitoring and assurance activities in field. ",,,,,,,,,,,,,,,,,,,,,,,
,403-8 Workers covered by an occupational health and safety management system,"2023 Sustainability data pack - Safety
Reporting excludes workers that are not on core Woolworths Group payroll systems such as PFD Foods, MyDeal and Pet Culture ",,,,,,,,,,,,,,,,,,,,,,,
,403-9 Work-related injuries,"2023 Sustainability data pack - Safety
Reporting excludes workers that are not on core Woolworths Group payroll systems such as PFD Foods, MyDeal and Pet Culture ",,,,,,,,,,,,,,,,,,,,,,,
,403-10 Work-related ill health,"2023 Sustainability data pack - Safety
Reporting excludes workers that are not on core Woolworths Group payroll systems such as PFD Foods, MyDeal and Pet Culture ",,,,,,,,,,,,,,,,,,,,,,,
Training and education,,,,,,,,,,,,,,,,,,,,,,,,,
GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report pages 10 – 13,,,,,,,,,,,,,,,,,,,,,,,
GRI 404: Training and Education 2016,404-1 Average hours of training per year per employee,,"part a i, ii",Information incomplete,All training is not captured in a central reporting system. While mandatory training is this would significantly understate training hours delivered/received,,,,,,,,,,,,,,,,,,,,
,404-2 Programs for upgrading employee skills and transition assistance programs,"2023 Sustainability Report pg 25
People Goal 3 provides details on the most significant skill upgrade program for meaningful retail careers of today and tomorrow.

A retirement planning toolkit is available as a resource for team members who are considering retirement.

Support is also providing for terminations under other conditions and varies according to the circumstances ",,,,,,,,,,,,,,,,,,,,,,,
,404-3 Percentage of employees receiving regular performance and career development reviews,All employees are expected to receive regular feedback and have formal performance review conversations at least twice a year as well as development plan conversations. Internal reporting tracks completion of these through our people reporting systems.,,,,,,,,,,,,,,,,,,,,,,,
Diversity and equal opportunity,,,,,,,,,,,,,,,,,,,,,,,,,
GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report pages 10 – 13,,,,,,,,,,,,,,,,,,,,,,,
GRI 405: Diversity and Equal Opportunity 2016,405-1 Diversity of governance bodies and employees,2023 Sustainability data pack - Diversity & Inclusion,,,,,,,,,,,,,,,,,,,,,,,
,405-2 Ratio of basic salary and remuneration of women to men,2023 Sustainability data pack - Diversity & Inclusion,,,,,,,,,,,,,,,,,,,,,,,
Non-discrimination,,,,,,,,,,,,,,,,,,,,,,,,,
GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report pages 10 – 13,,,,,,,,,,,,,,,,,,,,,,,
GRI 406: Non-discrimination 2016,406-1 Incidents of discrimination and corrective actions taken,2023 Sustainability data pack - Diversity & Inclusion,,,,,,,,,,,,,,,,,,,,,,,
Freedom of association and collective bargaining,,,,,,,,,,,,,,,,,,,,,,,,,
GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report pages 10 – 13,,,,,,,,,,,,,,,,,,,,,,,
GRI 407: Freedom of Association and Collective Bargaining 2016,407-1 Operations and suppliers in which the right to freedom of association and collective bargaining may be at risk,"2023 Sustainability data pack - Diversity & Inclusion
2023 Modern Slavery Statement

https://www.woolworthsgroup.com.au/au/en/sustainability/People/ethical---mutual-beneficial-partnerships.html",,,,,,,,,,,,,,,,,,,,,,,
Child labor,,,,,,,,,,,,,,,,,,,,,,,,,
GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report pages 10 – 13,,,,,,,,,,,,,,,,,,,,,,,
GRI 408: Child Labor 2016,408-1 Operations and suppliers at significant risk for incidents of child labor,"2023 Modern Slavery Statement

https://www.woolworthsgroup.com.au/au/en/sustainability/People/ethical---mutual-beneficial-partnerships.html",,,,,,,,,,,,,,,,,,,,,,,
Forced or compulsory labor,,,,,,,,,,,,,,,,,,,,,,,,,
GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report pages 10 – 13,,,,,,,,,,,,,,,,,,,,,,,
GRI 409: Forced or Compulsory Labor 2016,409-1 Operations and suppliers at significant risk for incidents of forced or compulsory labor,"2023 Modern Slavery Statement

https://www.woolworthsgroup.com.au/au/en/sustainability/People/ethical---mutual-beneficial-partnerships.html",,,,,,,,,,,,,,,,,,,,,,,
Security practices,,,,,,,,,,,,,,,,,,,,,,,,,
GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report pages 10 – 13,,,,,,,,,,,,,,,,,,,,,,,
GRI 410: Security Practices 2016,410-1 Security personnel trained in human rights policies or procedures,"2023 Modern Slavery Statement

https://www.woolworthsgroup.com.au/au/en/sustainability/People/ethical---mutual-beneficial-partnerships.html

Woolworths Group does not directly employ security personnel and compliance with Human Rights policy is included in contracts with third parties.","part a, b",Information Unavailable / Incomplete,Direct team cover these topic areas under Code of Conduct training. External team such as contractors cover this topic in their trading agreement terms with Woolworths Group.,,,,,,,,,,,,,,,,,,,,
Rights of indigenous peoples,,,,,,,,,,,,,,,,,,,,,,,,,
GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report pages 10 – 13,,,,,,,,,,,,,,,,,,,,,,,
GRI 411: Rights of Indigenous Peoples 2016,411-1 Incidents of violations involving rights of indigenous peoples,Woolworths Group Limited received several claims of discriminatory conduct involving Indigenous people during the reporting year. Woolworths Group has worked with the individuals to resolve areas of concern.,,,,,,,,,,,,,,,,,,,,,,,
Local communities,,,,,,,,,,,,,,,,,,,,,,,,,
GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report pages 10 – 13,,,,,,,,,,,,,,,,,,,,,,,
GRI 413: Local Communities 2016,"413-1 Operations with local community engagement, impact assessments, and development programs",2023 Sustainability Report pages 20 – 27,"part a i, ii, iii, iv, v, vi, vii, viii",Information incomplete,"Highlights of community engagement activities are contained in the 2023 Sustainability Report, however granular detail at the GRI disclosure level is not captured consistently or centrally",,,,,,,,,,,,,,,,,,,,
,413-2 Operations with significant actual and potential negative impacts on local communities,2023 Sustainability Report pages 20 – 27,"part a i, ii",,"Highlights of community engagement activities are contained in the 2023 Sustainability Report, however granular detail at the GRI disclosure level is not captured consistently or centrally",,,,,,,,,,,,,,,,,,,,
Supplier social assessment,,,,,,,,,,,,,,,,,,,,,,,,,
GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report pages 10 – 13,,,,,,,,,,,,,,,,,,,,,,,
GRI 414: Supplier Social Assessment 2016,414-1 New suppliers that were screened using social criteria,"All new suppliers are expected to adhere to ethical business conduct consistent with our own, and we are committed to working with them to fulfill this common goal and proactively address human rights.
The following documents outline these expectations
https://www.woolworthsgroup.com.au/content/dam/wwg/documents/group-responsibility/our-people/respecting-human-rights/126994_02_Responsible%20Sourcing%20Supplier%20Guidelines%20Update_A4_Dec_2022.pdf

https://www.woolworthsgroup.com.au/content/dam/wwg/sustainability/documents/123008_01_Responsible%20Sourcing%20Policy_A4.pdf

https://www.woolworthsgroup.com.au/content/dam/wwg/sustainability/documents/196135_responsible-sourcing-standards.pdf",,,,,,,,,,,,,,,,,,,,,,,
,414-2 Negative social impacts in the supply chain and actions taken,2023 Modern Slavery Statement,,,,,,,,,,,,,,,,,,,,,,,
Public policy,,,,,,,,,,,,,,,,,,,,,,,,,
GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report pages 10 – 13,,,,,,,,,,,,,,,,,,,,,,,
GRI 415: Public Policy 2016,415-1 Political contributions,2023 Sustainability data pack - Corporate governance,,,,,,,,,,,,,,,,,,,,,,,
Customer health and safety,,,,,,,,,,,,,,,,,,,,,,,,,
GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report pages 10 – 13,,,,,,,,,,,,,,,,,,,,,,,
GRI 416: Customer Health and Safety 2016,416-1 Assessment of the health and safety impacts of product and service categories,"We are committed to working closely with our suppliers, to provide our customers with a range of products they can trust to be safe and have consistent quality for them and their families.

We have developed the Supplier Excellence Program which is aimed at reducing auditing complexity associated with supplying Own Brand and Fresh Food products to us. Our ​Supplier Excellence Program defines all the safety and quality requirements for the supply of Woolworths' ​own-branded products.
https://partnerhub.woolworthsgroup.com.au/s/article/Supplier-Excellence-Program-Consumer-Goods

Product recalls can be found at:
https://www.woolworths.com.au/shop/discover/about-us/product-recalls",,,,,,,,,,,,,,,,,,,,,,,
,416-2 Incidents of non-compliance concerning the health and safety impacts of products and services,"During F23, there have been a small number of Woolworths own brand product recalls issued by Woolworths in accordance with Woolworths' product safety compliance systems and controls.

For Woolworths Supermarkets, Woolworths Chickpea and Falafel Salad and Woolworths Chicken Cobb salad were recalled due to possible contamination issue, this was an industry wide recall affecting other retailers as well. In addition, Woolworths Market Value Sausages were recalled due to the presence of foreign matter (plastic), Woolworths in-store made Fruit Hot Cross Buns 6 pack and 9 pack (Dural store only) for the presence of foreign matter (metal), and Woolworths Cookies & Cream ice cream sandwiches for the presence of foreign matter (metal).

Woolworths actioned a recall of Hoyts Poppy Seeds in October 2022 due to a potential safety issue. The recalled product reentered Woolworths Supply chain in January 2023. The incident was investigated by NSW Department of Primary Industries (DPI) and Victoria Health. Woolworths was able to demonstrate that they were not at fault for the product reentering our supply chain, and moved quickly to remove the product from our supply chain once it was identified. 

For BIG W, a pair of children's dungarees were recalled due to concerns in relation to safety of the fastening buttons.

No customer injuries or illness were reported in relation to the recalled products. No material or systemic issues have been identified and no regulatory action has been taken against Woolworths Group for these recalls.",,,,,,,,,,,,,,,,,,,,,,,
Marketing and labeling,,,,,,,,,,,,,,,,,,,,,,,,,
GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report pages 10 – 13,,,,,,,,,,,,,,,,,,,,,,,
GRI 417: Marketing and Labeling 2016,417-1 Requirements for product and service information and labeling,"Product safety standards and recalls
https://www.woolworths.com.au/shop/discover/about-us/product-safety",,,,,,,,,,,,,,,,,,,,,,,
,417-2 Incidents of non-compliance concerning product and service information and labeling,"During F23, there were no material regulator actions against Woolworths Group for non-compliance concerning product and service information and labelling laws.",,,,,,,,,,,,,,,,,,,,,,,
,417-3 Incidents of non-compliance concerning marketing communications,There were no material incidents of non-compliance concerning marketing communications during the reporting period by Woolworths Group Limited or its employees.,,,,,,,,,,,,,,,,,,,,,,,
Customer privacy,,,,,,,,,,,,,,,,,,,,,,,,,
GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report pages 10 – 13,,,,,,,,,,,,,,,,,,,,,,,
GRI 418: Customer Privacy 2016,418-1 Substantiated complaints concerning breaches of customer privacy and losses of customer data,"One breach was reported during the reporting period.
Company announcement can be located at:
www.woolworthsgroup.com.au/content/dam/wwg/investors/asx-announcements/MyDeal%20data%20breach%20notification.pdf
",,,,,,,,,,,,,,,,,,,,,,,
