Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
,Apply ethical business practices and sound systems of corporate governance and transparency to support sustainable development.,,,,,,,,,The Way We Work,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Inclusion and diversity policy,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Employment Policy,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"Health, Safety, Environment and Communities Policy",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Risk Policy and Standard,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Competition Standard,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Business Integrity Standard,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Management System standard,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Contractor Privacy Statement,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Transparency Statement,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Supplier Code of Conduct,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Communities and Social Performance Standard ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Why gender matters ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Why cultural heritage matters ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Why agreements matter ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Why Human Rights Matter ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,myVoice Procedure,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Data Privacy Standard,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Customer Privacy Statement,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Voluntary Principles on Security and Human Rights ,,,,,,,,,,,,,,,,,,,,,,
,PRINCIPLE 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Integrate sustainable development in corporate strategy and decision-making processes.,,,,,,,,,The Way We Work,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Risk Policy and Standard,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Supplier Code of Conduct,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Human Rights Policy,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Inclusion and Diversity Policy,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Communities and Social Performance Standard ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,myVoice Procedure,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Why agreements matter ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Why Human Rights Matter ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Why cultural heritage matters ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Modern Slavery Statement,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Voluntary Principles on Security and Human Rights ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Annual Report,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Sustainability Fact Book,,,,,,,,,,,,,,,,,,,,,,
,PRINCIPLE 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Respect human rights and the interests, cultures, customs and values of employees and communities affected by our activities.",,,,,,,,,The Way We Work,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Risk Policy and Standard,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Supplier Code of Conduct,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Human Rights Policy,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Inclusion and Diversity Policy,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Communities and Social Performance Standard ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,myVoice Procedure,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Why agreements matter,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Why Human Rights Matter ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Why cultural heritage matters,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Modern Slavery Statement,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Voluntary Principles on Security and Human Rights ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Annual Report,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Sustainability Fact Book,,,,,,,,,,,,,,,,,,,,,,
,PRINCIPLE 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Implement effective risk-management strategies and systems based on sound science and which account for stakeholder perceptions of risks.,,,,,,,,,Risk Policy and Standard,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Management System Standard,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Management of Tailings and Water Storage Standard,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Tailings Policy,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Annual Report ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Sustainability Fact Book,,,,,,,,,,,,,,,,,,,,,,
,PRINCIPLE 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pursue continual improvement in health and safety performance with the ultimate goal of zero harm.,,,,,,,,,The Way We Work,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"Health, Safety, Environment and Communities Policy",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Management System Standard,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Health Management Approach,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Radiation Exposure Control Standard,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Aviation Safety Standard,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Vector-borne and Infectious Disease Control Standard,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Confined Spaces Standard,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Electrical Safety Standard,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Management of Slope Geotechnical Hazards Standard,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Underground Safety Standard,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Cranes and Lifting Standard,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Annual Report ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Sustainability Fact Book,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Explosives Standard,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Fitness for Work in Safety-critical Jobs Standard,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Noise Exposure Control Standard,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Manual Tasks and Workplace Ergonomics Management Standard,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Vehicles and Driving Standard,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Isolation Standard,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Process Safety Standard,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Functional Safety Standard,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Working at Heights Standard,,,,,,,,,,,,,,,,,,,,,,
,PRINCIPLE 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Pursue continual improvement in environmental performance issues, such as water stewardship, energy use and climate change.",,,,,,,,,The Way We Work,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"Health, Safety, Environment and Communities Policy",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Management System Standard,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ICMM Climate Change Commitment and Position Statement,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Air Quality Protection Standard,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Water Quality Protection and Water Management Standard,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Annual Report,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Sustainability Fact Book,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Climate Change Report,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Chemically-reactive Mineral Waste Control Standard,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Chemicals and Hazardous Substances Exposure Control Standard,,,,,,,,,,,,,,,,,,,,,,
,PRINCIPLE 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contribute to the conservation of biodiversity and integrated approaches to land-use planning.,,,,,,,,,The Way We Work,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"Health, Safety, Environment and Communities Policy",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Management System Standard,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Closure Approach,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Annual Report,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Sustainability Fact Book,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Land Management and Rehabilitation Standard,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Biodiversity Protection and Natural Resource Management Standard,,,,,,,,,,,,,,,,,,,,,,
,PRINCIPLE 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Facilitate and support the knowledge-base and systems for responsible design, use, re-use, recycling and disposal of products containing metals and minerals.",,,,,,,,,The Way We Work,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"Health, Safety, Environment and Communities Policy",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Management System Standard,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Annual Report,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Hazardous Materials and Non-mineral Waste Control Standard,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Chemically-reactive Mineral Waste Control Standard,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Chemicals and Hazardous Substances Exposure Control Standard,,,,,,,,,,,,,,,,,,,,,,
,PRINCIPLE 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Pursue continual improvement in social performance and contribute to the social, economic and institutional development of host countries and communities.",,,,,,,,,The Way We Work,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"Health, Safety, Environment and Communities Policy",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Management System Standard,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Australia Reconciliation Action Plan 2016-2019,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Australia Reconciliation Action Plan Progress Report 2018,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Annual Report,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Sustainability Fact Book,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Why agreements matter,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Taxes Paid Report,,,,,,,,,,,,,,,,,,,,,,
,PRINCIPLE 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Proactively engage key stakeholders on sustainable development challenges and opportunities in an open and transparent manner. Effectively report and independently verify progress and performance.,,,,,,,,,The Way We Work,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Management System Standard,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Industry Associations and Climate Change,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Industry Association Disclosure,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Annual Report,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Sustainability Fact Book,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Taxes Paid Report,,,,,,,,,,,,,,,,,,,,,,
