Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
,,Mount Rosser - RDA,Jamaica,"18.20792, -77.09092",Owned and Operated,,Rio Tinto,Rio Tinto,Closed,1957,Yes,Centreline,52,9000000,9000000,43586,Yes,Significant,GISTM,No,Both,Yes - June 2020,Yes and Yes,Yes,,,
,,Nammuldi - WFSF,Australia,"-22.37459, 117.33249",Owned and Operated,,Rio Tinto,Rio Tinto,Active,2014,Yes,Downstream,28,11400000,25699142,44593,Yes,High,GISTM,No,Both,Yes - July 2022,Yes and Yes,Yes,,,
,,Oyu Tolgoi - TC1,Mongolia,"43.00530, 106.89252",Managed Joint Venture,"Rio Tinto (66%), Erdenes Oyu Tolgoi (34%)",Joint Venture,Rio Tinto,Active,2013,Yes,Downstream,65,203884572,240000000,44805,Yes,High,GISTM,No,Both,Yes - February 2020,Yes and Yes,Yes,,,
,,Oyu Tolgoi - TC2,Mongolia,"43.02019, 106.90297",Managed Joint Venture,"Rio Tinto (66%), Erdenes Oyu Tolgoi (34%)",Joint Venture,Rio Tinto,Active,2023,Yes,N/A (single embankment),13.5,28000000,132000000,44409,Yes,High,GISTM,No,Both,Yes - February 2021,Yes and Yes,Yes,,,
,,Paraburdoo - TSF1,Australia,"-23.26534, 117.62441",Owned and Operated,,Rio Tinto,Rio Tinto,Active,1995,Yes,Upstream,21,33330000,45160000,45047,Yes,High,GISTM,No,Both,Yes - March 2020,Yes and Yes,Yes,,,
,,QIT Madagascar Minerals (QMM) - Feedprep Pond,Madagascar,"-24.96781, 47.00854",Independent Operation,"Rio Tinto (80%), State of Madagascar (20%)",QIT Madagascar Minerals (QMM),QIT Madagascar Minerals (QMM),Active,2016,Yes,N/A (excavated storage facility),"0:
Elevation of surrounding topography is approx 7 masl.",180000,438000,44621,Yes,Significant,GISTM,No,Both,Yes - December 2021,Yes and Yes,Yes,,,
,,QIT Madagascar Minerals (QMM) - Settling Pond,Madagascar,"-24.96330, 47.00889",Independent Operation,"Rio Tinto (80%), State of Madagascar (20%)",QIT Madagascar Minerals (QMM),QIT Madagascar Minerals (QMM),Active,2016,Yes,N/A (excavated storage facility),"0:
Elevation of surrounding topography is approx 8 masl.",101000,"0:
Predominantly a Water Storage Facility. Minerals carried from the Mineral Separation Plant are periodically recovered and re-processed.",44621,Yes,Significant,GISTM,No,Both,Yes - December 2021,Yes and Yes,Yes,,,
,,Queensland Alumina Limited (QAL) - Ash Pond 4,Australia,"-23.87240, 151.29744",Non-Managed Joint Venture,"Rio Tinto (80%), Rusal (20%)",Joint Venture,Queensland Alumina Limited,Active,1978,Yes,Upstream,15,5000000,6000000,44593,Yes,High,GISTM,No,Both,Yes - November 2019,Yes and Yes,Yes,"The responses provided in relation to all questions for this facility, which is not managed or operated by Rio Tinto, have been provided by the operating entity and have not been independently verified by Rio Tinto nor based on Rio Tinto’s own records.",,
,,Queensland Alumina Limited (QAL) - Sand Pond 1,Australia,"-23.86431, 151.28374",Non-Managed Joint Venture,"Rio Tinto (80%), Rusal (20%)",Joint Venture,Queensland Alumina Limited,Closed,1970s,Yes,Centreline,4,840000,840000,44593,Yes,Low,GISTM,No,Both,"No:
Closed facility.",Yes and Yes,Yes,"The responses provided in relation to all questions for this facility, which is not managed or operated by Rio Tinto, have been provided by the operating entity and have not been independently verified by Rio Tinto nor based on Rio Tinto’s own records.",,
,,Queensland Alumina Limited (QAL) - Sand Pond 2,Australia,"-23.85896, 151.28288",Non-Managed Joint Venture,"Rio Tinto (80%), Rusal (20%)",Joint Venture,Queensland Alumina Limited,Closed,1970s,Yes,Centreline,4,960000,960000,44593,Yes,Significant,GISTM,No,Both,"No:
Closed facility.",Yes and Yes,Yes,"The responses provided in relation to all questions for this facility, which is not managed or operated by Rio Tinto, have been provided by the operating entity and have not been independently verified by Rio Tinto nor based on Rio Tinto’s own records.",,
,,Queensland Alumina Limited (QAL) - Sand Pond 3,Australia,"-23.85876, 151.28747",Non-Managed Joint Venture,"Rio Tinto (80%), Rusal (20%)",Joint Venture,Queensland Alumina Limited,Closed,1970s,Yes,Centreline,4,1080000,1080000,44593,Yes,Significant,GISTM,No,Both,"No:
Closed facility.",Yes and Yes,Yes,"The responses provided in relation to all questions for this facility, which is not managed or operated by Rio Tinto, have been provided by the operating entity and have not been independently verified by Rio Tinto nor based on Rio Tinto’s own records.",,
,,Queensland Alumina Limited (QAL) - Historic RMD,Australia,"-23.90302, 151.31669",Non-Managed Joint Venture,"Rio Tinto (80%), Rusal (20%)",Joint Venture,Queensland Alumina Limited,Inactive,1967,Yes,Downstream,7,5000000,5000000,44805,Yes,High,GISTM,No,Both,"No:
Inactive, capped and partially rehabilitated facility.",Yes and Yes,Yes,"The responses provided in relation to all questions for this facility, which is not managed or operated by Rio Tinto, have been provided by the operating entity and have not been independently verified by Rio Tinto nor based on Rio Tinto’s own records.",,
,,Queensland Alumina Limited (QAL) - MWDF,Australia,"-23.87421, 151.29407",Non-Managed Joint Venture,"Rio Tinto (80%), Rusal (20%)",Joint Venture,Queensland Alumina Limited,Active,1967,Yes,Upstream,15,430000,510000,44593,Yes,Significant,GISTM,No,Both,Yes - March 2020,Yes and Yes,Yes,"The responses provided in relation to all questions for this facility, which is not managed or operated by Rio Tinto, have been provided by the operating entity and have not been independently verified by Rio Tinto nor based on Rio Tinto’s own records.",,
,,Queensland Alumina Limited (QAL) - RMD1,Australia,"-23.92005, 151.32281",Non-Managed Joint Venture,"Rio Tinto (80%), Rusal (20%)",Joint Venture,Queensland Alumina Limited,Active,1967,Yes,Upstream,20,36000000,45000000,44713,Yes,Very High,GISTM,No,Both,Yes - June 2020,Yes and Yes,Yes,"The responses provided in relation to all questions for this facility, which is not managed or operated by Rio Tinto, have been provided by the operating entity and have not been independently verified by Rio Tinto nor based on Rio Tinto’s own records.",,
,,Queensland Alumina Limited (QAL) - RMD2,Australia,"-23.93675, 151.31705",Non-Managed Joint Venture,"Rio Tinto (80%), Rusal (20%)",Joint Venture,Queensland Alumina Limited,Active,1975,Yes,Centreline,26,107000000,125000000,44713,Yes,Extreme,GISTM,No,Both,Yes - June 2020,Yes and Yes,Yes,"The responses provided in relation to all questions for this facility, which is not managed or operated by Rio Tinto, have been provided by the operating entity and have not been independently verified by Rio Tinto nor based on Rio Tinto’s own records.",,
,,Resolution - No. 1 and 2 TSF Impoundment,USA,"33.29840, -111.10564",Managed Joint Venture,"Rio Tinto (55%), BHP (45%)",Joint Venture,Rio Tinto,Closed,1900,Yes,Upstream,9,1800000,1800000,44105,"Yes:
An investigation and stability report post deposition has been completed for the facility, and the Closure design was based on this information. No design, construction or maintenance data during operation.",Low,GISTM,No,Both,"No:
Closed facility.",Yes and Yes,Yes,This impoundment is not in operation and has had a reclamation cap placed on it.,,
,,Resolution - No. 3 and 4 TSF Impoundment,USA,"33.29671, -111.10381",Managed Joint Venture,"Rio Tinto (55%), BHP (45%)",Joint Venture,Rio Tinto,Closed,1940,Yes,Upstream,18,2400000,2400000,44105,"Yes:
An investigation and stability report post deposition has been completed for the facility, and the Closure design was based on this information. No design, construction or maintenance data during operation.",Significant,GISTM,No,Both,"No:
Closed facility.",Yes and Yes,Yes,This impoundment is not in operation and has had a reclamation cap placed on it.,,
,,Resolution - No. 5 TSF Impoundment,USA,"33.30256, -111.10737",Managed Joint Venture,"Rio Tinto (55%), BHP (45%)",Joint Venture,Rio Tinto,Closed,1957,Yes,Upstream,18,1900000,1900000,44105,"Yes:
An investigation and stability report post deposition has been completed for the facility, and the Closure design was based on this information. No design, construction or maintenance data during operation.",Low,GISTM,No,Both,"No:
Closed facility.",Yes and Yes,Yes,This impoundment is not in operation and has had a reclamation cap placed on it.,,
,,Resolution - No. 6 and 7 TSF Impoundment,USA,"33.30428, -111.11155",Managed Joint Venture,"Rio Tinto (55%), BHP (45%)",Joint Venture,Rio Tinto,Closed,1970,Yes,Modified Centreline,22.8,2951000,2951000,44105,"Yes:
An investigation and stability report post deposition has been completed for the facility, and the Closure design was based on this information. No design, construction or maintenance data during operation.",Significant,GISTM,No,Both,Yes - March 2019,Yes and Yes,Yes,This impoundment is not in operation and has had a reclamation cap placed on it.,,
,,Richards Bay Minerals (RBM) - Clarifier Site,South Africa,"-28.70241, 32.20626",Managed Joint Venture,"Rio Tinto (74%), Blue Horizon (24%), Employee trust (2%)",Joint Venture,Rio Tinto,Active,1996,Yes,Downstream,15,735800,855000,44986,Yes,Significant,GISTM,No,Both,Yes - September 2022,Yes and Yes,Yes,,,
,,Ridgeway - Ridgeway TSF,USA,"34.27089, -80.90017",Owned and Operated,,Rio Tinto,Rio Tinto,Closed,1990,Yes,Downstream,53,185200,185200,44562,Yes,Significant,GISTM,No,External only,Yes - December 2022,Yes and Yes,Yes,,,
,,Salindres - 0431-B2,France,"44.16596, 4.14580",Owned and Operated,,Rio Tinto,Rio Tinto,Closed,1953,"No:
The closed Salindres 0431 - B2 facility received tailings from 1953 to 1995. Due to its age it does not have an approved design and the original design documentation is not available; however, we have sufficient studies and monitoring data to assess stability.",Upstream,36,5600000,5600000,44501,"No:
The closed Salindres 0431 - B2 facility received tailings from 1953 to 1995. Due to its age it does not have an approved design and the original design documentation is not available; however, we have sufficient studies and monitoring data to assess stability.",Very High,GISTM,No,Both,Yes - March 2021,Yes and Yes,Yes,,,
,,Segoussac - 0126,France,"44.20123, 4.16170",Owned and Operated,,Rio Tinto,Rio Tinto,Closed,1965,Yes,Downstream,55,3900000,3900000,43313,Yes,Very High,GISTM,No,Both,Yes - March 2021,N/A and No,Yes,Q18: Assessment of long-term monitoring requirements is underway and will be included in the site Post-Closure documentation.,,
,,Sorel-Tracy - P84,Canada,"45.97099, -73.16604",Owned and Operated,,Rio Tinto,Rio Tinto,Active,1994,Yes,N/A (dry stack),35,3385030,4082934,44013,Yes,High,GISTM,No,Both,Yes - July 2020,Yes and No,Yes,Q8: Maximum height of the dry stack.,,
,,Sweetwater - TSF,USA,"42.05262, -107.89124",Owned and Operated,,Rio Tinto,Rio Tinto,Inactive,1980,Yes,N/A (single embankment),15,2400000,2400000,44774,Yes,Low,GISTM,No,External only,"No:
The report by a Registered Professional Engineer on the 3 May 2018 inspection states ""Water surface levels are lower than the elevation of the native ground around the entire perimeter of the tailings impoundment"".",Yes and Yes,Yes,Q7: The Sweetwater TSF is constructed with storage below grade and an embankment. All materials within the TSF are below the natural grade of the surrounding landscape.,,
,,Tom Price - SEP TSF,Australia,"-22.76898, 117.77624",Owned and Operated,,Rio Tinto,Rio Tinto,Active,2022,Yes,N/A (in-pit),"0:
Tailings are deposited into a completed open pit.",1160000,3700000,45078,Yes,Significant,GISTM,No,Both,Yes - January 2021,No and No,Yes,,,
,,Tom Price - TSF1,Australia,"-22.74290, 117.75118",Owned and Operated,,Rio Tinto,Rio Tinto,Inactive,1979,Yes,Downstream,73,3500000,3500000,45078,"No:
Original design drawings are available. TSF1 is encapsulated in a mine waste rock dump and only the Northern Saddle dam remains exposed.",Low,GISTM,No,Both,"No:
TSF1 is encapsulated in a mine waste rock dump and only the Northern Saddle dam remains exposed.",No and No,Yes,"Q1: The TSF1 facility is encapsulated in a mine waste rock dump, except for the Northern saddle dam.",,
,,Tom Price - TSF2A,Australia,"-22.72063, 117.80431",Owned and Operated,,Rio Tinto,Rio Tinto,Active,1992,Yes,Upstream,36.5,21500000,26500000,45078,Yes,Very High,GISTM,No,Both,Yes - March 2021,Yes and Yes,Yes,,,
,,Vaudreuil - Laterriere TSF Basins XC-XD,Canada,"48.34406, -71.20384",Owned and Operated,,Rio Tinto,Rio Tinto,Inactive,1967,Yes,Downstream,25,10000000,10000000,44470,Yes,High,GISTM,No,Both,Yes - October 2022,Yes and Yes,Yes,,,
,,Vaudreuil - Local TSF Jonquiere,Canada,"48.41650, -71.15025",Owned and Operated,,Rio Tinto,Rio Tinto,Active,1942,Yes,Downstream,40,36000000,41000000,44470,Yes,Significant,GISTM,No,Both,Yes - November 2022,Yes and Yes,Yes,,,
,,Vaudreuil - Pond 4,Canada,"48.41975, -71.15868",Owned and Operated,,Rio Tinto,Rio Tinto,Active,1953,Yes,Downstream,16,800000,800000,44743,Yes,Extreme,GISTM,No,Both,Yes - October 2022,Yes and Yes,Yes,,,
,,Weipa - Andoom TSF,Australia,"-12.52083, 141.84377",Owned and Operated,,Rio Tinto,Rio Tinto,Active,2004,Yes,Upstream,21.5,64000000,80000000,44896,Yes,High,GISTM,No,Both,Yes - September 2021,Yes and Yes,Yes,,,
,,Weipa - East Weipa Emergency TSF,Australia,"-12.66509, 141.87959",Owned and Operated,,Rio Tinto,Rio Tinto,Inactive,1993,Yes,Modified Centreline,8,800000,800000,44896,Yes,High,GISTM,No,Both,Yes - September 2021,Yes and Yes,Yes,,,
,,Weipa - East Weipa TSF1 and TSF2,Australia,"-12.66595, 141.88763",Owned and Operated,,Rio Tinto,Rio Tinto,Inactive,1976,Yes,Modified Centreline,10,11500000,11500000,44896,Yes,Low,GISTM,No,Both,Yes - September 2021,Yes and Yes,Yes,,,
,,Weipa - East Weipa TSF4,Australia,"-12.65000, 141.87585",Owned and Operated,,Rio Tinto,Rio Tinto,Active,1970,Yes,Upstream,26,79000000,79500000,44896,Yes,Extreme,GISTM,No,Both,Yes - August 2021,Yes and Yes,Yes,,,
,,Weipa - G and X Dam,Australia,"-12.65493, 141.85197",Owned and Operated,,Rio Tinto,Rio Tinto,Closed,1978,Yes,Upstream,6,1100000,1100000,"N/A:
This facility has been decommissioned and rehabilitated.","No:
This facility has been decommissioned and rehabilitated.",Low,GISTM,No,Both,"No:
This facility has been decommissioned and rehabilitated.","N/A and N/A:
This facility has been decommissioned and rehabilitated.",Yes,,,
,,Weipa - G2 Dam,Australia,"-12.65996, 141.84164",Owned and Operated,,Rio Tinto,Rio Tinto,Closed,1978,Yes,Downstream,7,1500000,1500000,"N/A:
This facility has been decommissioned and rehabilitated.","No:
This facility has been decommissioned and rehabilitated.",Low,GISTM,No,Both,"No:
This facility has been decommissioned and rehabilitated.","N/A and N/A:
This facility has been decommissioned and rehabilitated.",Yes,,,
,,Weipa - Torro TSF,Australia,"-12.95479, 141.63019",Owned and Operated,,Rio Tinto,Rio Tinto,Active,2018,Yes,Upstream,14,29600000,68000000,44896,Yes,Very High,GISTM,No,Both,Yes - May 2021,Yes and Yes,Yes,,,
,,Weipa - West Weipa TSF2 Dam and G1 Dam,Australia,"-12.65061, 141.84638",Owned and Operated,,Rio Tinto,Rio Tinto,Inactive,1979,Yes,Upstream,10,15000000,15000000,44896,Yes,High,GISTM,No,Both,Yes - September 2021,Yes and Yes,Yes,,,
,,Whinnyhall - Landfill,UK,"56.07302, -3.21299",Owned and Operated,,Rio Tinto,Rio Tinto,Closed,1941,Yes,Upstream,20,2000000,2000000,43374,Yes,Very High,GISTM,No,Both,Yes - April 2021,N/A and No,Yes,Q18: Assessment of long-term monitoring requirements is underway and will be included in the site Post-Closure documentation.,,
,,Yandicoogina - WFC1,Australia,"-22.76729, 119.22071",Owned and Operated,,Rio Tinto,Rio Tinto,Inactive,2005,Yes,Downstream,51,10714290,10714290,44593,Yes,Significant,GISTM,No,Both,Yes - January 2020,Yes and Yes,Yes,,,
,,Yandicoogina - WFC3,Australia,"-22.81517, 119.25762",Owned and Operated,,Rio Tinto,Rio Tinto,Inactive,2015,Yes,Downstream,55,3511564,3511564,44621,Yes,Significant,GISTM,No,Both,Yes - January 2020,Yes and Yes,Yes,,,
,,Yandicoogina - WFC3A,Australia,"-22.80850, 119.26283",Owned and Operated,,Rio Tinto,Rio Tinto,Active,2017,Yes,Downstream,55,11982680,20159122,44593,Yes,Significant,GISTM,No,Both,Yes - January 2020,Yes and Yes,Yes,,,
,,Yandicoogina - WFC4,Australia,"-22.75341, 119.23152",Owned and Operated,,Rio Tinto,Rio Tinto,Inactive,2011,Yes,Centreline,44,8207225,8207225,44593,Yes,Significant,GISTM,No,Both,Yes - January 2020,Yes and Yes,Yes,,,
,,Yandicoogina - WFC5,Australia,"-22.76763, 119.23787",Owned and Operated,,Rio Tinto,Rio Tinto,Active,2020,Yes,N/A (in-pit),"0:
Tailings are deposited into a completed open pit.",761200,7561200,44593,Yes,Significant,GISTM,No,Both,"No:
In-pit facility.",Yes and Yes,Yes,,,
,,Yarwun - RMA1,Australia,"-23.86965, 151.07740",Owned and Operated,,Rio Tinto,Rio Tinto,Active,2005,Yes,Centreline,44,51000000,71000000,44866,Yes,Extreme,GISTM,No,Both,Yes - May 2020,Yes and Yes,Yes,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"IMPORTANT NOTICE
Content of document

This document includes figures, classifications, assessments and other information regarding tailings and Rio Tinto’s systems. Some of the information provided relies upon judgement based on internal or external reviews of information. Unless otherwise stated the information in the document is based on data available as at 5 August 2023, and judgements or assessments in the document may be based on data which predates 5 August 2023. The information and views may change based on new or different information, circumstances or events and should not be relied upon as a forecast or recommendation.  

Rio Tinto is implementing the Global Industry Standard on Tailings Management (GISTM) for all tailings facilities where Rio Tinto is the Operator (as defined in GISTM). For each of our tailings facilities with ""Very High"" and ""Extreme"" GISTM consequence classifications, we have published on the Rio Tinto website a Tailings Facility Disclosure under Principle 15 of the GISTM that provides information on implementation status and summaries of our tailings management processes. 

Non-operated sites with tailings facilities in which Rio Tinto has an interest include: Alumar, Blackbird, Escondida, Gladstone Power Station, Mineração Río do Norte, Olette, Ranger and Saint Cyr.



Forward looking statements

The information presented contains forward-looking statements (within the meaning of the US Private Securities Litigation Reform Act of 1995) concerning the financial condition, operations and businesses of Rio Tinto. All statements other than statements of historical fact are, or may be deemed to be, forward-looking statements. 
Forward-looking statements are statements of future expectations that are based on management’s current expectations and assumptions and involve known and unknown risks and uncertainties that could cause actual results, performance of, or events affecting Rio Tinto, or the industry, to differ materially from those expressed or implied in these statements. Such forward-looking statements involve subjective judgements and determinations based on available geological, technical, contractual and economic information. These could change because of new information from production or mining activities, or changes in economic factors, including changes in market prices and operating costs, changes in the regulatory policies of host governments, or other events. The statements could also be altered by acquisitions and divestments, new discoveries, and extensions or closure of existing mines, as well as the application of improved recovery and tailings techniques. Published statements could also be subject to correction due to errors in the application of internal assurance or published rules or guidance, and changes in that assurance, rules or guidance. Please also refer to further factors and risks as identified in Rio Tinto’s most recent Annual Report in Australia and the United Kingdom and the most recent Annual Report on Form 20-F filed with the United States Securities and Exchange Commission (“SEC”) or Forms 6-K furnished to, or filed with, the SEC.

As such, readers should not place undue reliance on these forward-looking statements, including with regard to future investment decisions. 

Rio Tinto undertakes no obligation to publicly update, or revise, any information in the document, including forward-looking statements, as a result of new information, future events or other information.",,,,,,,,,,,,,,,,,,,,,,,,,
