Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
,,"Contextual information necessary to understand how the data has been compiled, such as any standards, methodologies, and assumptions used",The data has been compiled with reference to Newcrest's Occupational injury and illness classification and reporting procedure. ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,GRI 403-10 Total Recordable Work-Related Ill Health,FY23,,,FY22,,,FY21,,,,,,,,,,,,,,,
,,,Company,Employees,Contractors,Company,Employees,Contractors,Company,Employees,Contractors,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Company ,5,2,,3,1,2,5,0,5,,,,,,,,,,,,,
,,Brucejack,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
,,Cadia,1,0,1,1,1,0,3,1,3,,,,,,,,,,,,,
,,Lihir,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
,,Red Chris,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
,,Telfer,3,2,1,0,0,0,2,0,2,,,,,,,,,,,,,
,,Exploration,1,0,1,2,0,2,0,0,0,,,,,,,,,,,,,
,,Project Delivery,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
,,Namosi,0,0,0,0,0,0,-,-,-,,,,,,,,,,,,,
,,Corporate Offices,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
,,Wafi-Golpu,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,"(1) In line with ICMM guidelines, the calculation of Company-wide illness only includes operational sites and joint ventures in which Newcrest has a controlling interest; therefore, Wafi-Golpu is excluded.
(2)  Prior to FY22, illnesses recorded from Project delivery activities were included in the Company total
(3) There were no fatalities as a result of ill health in FY23.
(4) The main types of recordable work-related ill health  were Strains/ Sprains,  musculoskeletal disorders and infection
(5)  Recordable Work-Related ill Health is not reported by gender or types of ill Health.",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Additional notes: Total Recordable Work-Related Ill Health,,,,,,,,,,,,,,,,,,,,,,
,,Work-related hazards that pose a risk of ill health,The main types of work-related hazards that pose a risk of ill health include: Silica; Diesel Particulate Matter; Manual Handling; Exposure to Hazardous Substances; Psychosocial; Psychological; Noise; Ergonomics,,,,,,,,,,,,,,,,,,,,,
,,How have these hazards been determined?,"The hazards have been determined in accordance with the Risk Management Standard, with identification through Newcrest’s historical incident experience, Risk register and risk assessment reviews, Industry and/or Professional experience and research and document reviews.",,,,,,,,,,,,,,,,,,,,,
,,Which (if any) of these hazards have contributed to cases of ill health during the reporting period,The hazards that have contributed to cases of ill health in the reporting period include Manual Handling and Ergonomics.,,,,,,,,,,,,,,,,,,,,,
,,Actions taken or underway to eliminate these hazards and minimise risks using the hierarchy of controls,"Newcrest’s Risk Management process of risk identification, analysis, evaluation, and control, supported by control verification with our Critical Control Management process aims to minimise the risk of these hazards. All incidents involving illnesses are investigated to determine contributing factors and actions assigned based on the hierarchy of control, with a focus on higher order controls including elimination where practicable, substitution and engineering.",,,,,,,,,,,,,,,,,,,,,
,,"Whether and, if so, why any workers or types of worker have been excluded from this disclosure",Joint ventures where Newcrest is not the controlling partner are excluded.,,,,,,,,,,,,,,,,,,,,,
,,"Contextual information necessary to understand how the data has been compiled, such as any standards, methodologies, and assumptions used",The data has been compiled with reference to Newcrest’s Occupational injury and illness classification and reporting procedure.,,,,,,,,,,,,,,,,,,,,,
,,Additional information,"Employees and contractors at Newcrest locations where mining, construction or exploration activities are conducted are exposed to the following work-related hazards that pose a risk of ill health: Silica; Manual Handling; Exposure to Hazardous Substances and Noise. Employees and Contractors at Underground mining or enclosed workplaces with diesel engine combustion are exposed to Diesel Particulate Matter. All employees and Contractors at Newcrest locations are exposed to  Psychosocial, Psychological and Ergonomics Hazards. 
Some of the chemicals that pose a risk of ill health include cyanide, isocyanate, lead, mercury, arsenic, carbon monoxide and asbestos.",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,GRI 405-2  Ratio of basic salary and remuneration of women to men (%) FY23 (1)(2),,,,,,,,,,,,,,,,,,,,,,
,,,Company,Brucejack,Cadia,Lihir,Red Chris,Telfer,Exploration,Havieron,Namosi,WGJV,Corporate offices,,,,,,,,,,,
,,Senior Executive  (Level 5 & 6),,,,,,,,,,,5.1,,,,,,,,,,,
,,Senior Executive – male (Level 5 & 6),,,,,,,,,,,6,,,,,,,,,,,
,,Senior Executive – female (Level 5 & 6),,,,,,,,,,,4,,,,,,,,,,,
,,General Manager  (Level 4),13.9,16.3,21.8,20.5,20.3,17.4,,,,0,9.4,,,,,,,,,,,
,,General Manager – male (Level 4),13.9,16.3,21.8,17.6,20.3,15.1,,,,0,9.3,,,,,,,,,,,
,,General Manager – female (Level 4),14.1,,,44.2,,29.3,,,,,9.5,,,,,,,,,,,
,,Manager (level 3),18.2,21.3,43.2,21.4,12.1,19.5,11.4,51.8,4.9,0,10.7,,,,,,,,,,,
,,Manager – male (Level 3),19.4,22.3,42.9,21.5,12.2,17.4,12.7,51.8,6.5,0,11.6,,,,,,,,,,,
,,Manager – female (Level 3),14.9,18.4,44.7,20.5,11.9,36.3,,,3.3,0,9,,,,,,,,,,,
,,"Supervisor, superintendent, coordinator & senior technical specialist  (Level 2)",45.1,17.4,82,45.2,26.5,34.5,20.6,39.5,5.6,0,13.6,,,,,,,,,,,
,,"Supervisor, superintendent, coordinator & senior technical specialist – male (Level 2)",48.5,18.5,89,46.2,28.1,35.9,17.6,36,6.3,0,15.8,,,,,,,,,,,
,,"Supervisor, superintendent, coordinator & senior technical specialist – female (Level 2)",28.2,13.2,35.7,38.4,19.9,28.7,29.5,95.1,3.5,0,10.4,,,,,,,,,,,
,,"Operator, technical advisor & other (level 1)",47.2,9.7,93.7,29.2,25.3,31.5,9,16.7,3.1,0,12.6,,,,,,,,,,,
,,"Operator, technical advisor & other – male (Level 1)",49.6,11.3,95,30.4,25.9,32.5,6,14.6,,0,14,,,,,,,,,,,
,,"Operator, technical advisor & other – female (Level 1)",34.5,3.9,83.1,22.9,22.7,25.9,9.7,19.5,3.1,0,11.7,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,"(1) Per average training hours recorded in Newcrest's system of record (learning management system). Please note that there are a small number of instances where employees are mapped to different sites in different system of source records. For example, some Exploration employees have been allocated to Corporate Offices in the learning management system and some Perth employees  have been allocated to Telfer. 
(2) Company average does not include Brucejack.
(3) For Brucejack -  Training data only includes hours recorded for Executive Leadership Development, Pro Supervisor, HR 101s, Upstander Training, Workplace Behaviour Training, Safety/Vista Training, NewSafe, Code of Conduct, and Apprenticeship Training. 
(4)  Site is under care and maintenance. No training hours were recorded however employees received on the job inductions. ",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,404-2 Programs for upgrading employee skills and transition assistance programs,,,,,,,,,,,,,,,,,,,,,,
,,"Inductions - including online and face to face (site and  area familiarisation)
Corporate Training - (Workplace Behaviour, Sustainability, Human rights, Code of Conduct), Ethics and Compliance training (For High Risk Role, Privacy, COI, Froud), Leadership training (LeadingMatters, ManagingMatters, Inclusive leaders, Supervisor program for leaders), NewSafe (WHS)
Site and Technical training - as required by role, (includes operating equipment, surface and underground operations, ore processing plant maintenance, etc)",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,404-3 Employees receiving performance reviews (%) FY23 (1),,,,,,,,,,,,,,,,,,,,,,
,,,Company,,,,,,,,,,,,,,,,,,,,,
,,Senior Executive – male (Level 5 & 6),100,,,,,,,,,,,,,,,,,,,,,
,,Senior Executive – female (Level 5 & 6),100,,,,,,,,,,,,,,,,,,,,,
,,General Manager – male (Level 4),100,,,,,,,,,,,,,,,,,,,,,
,,General Manager – female (Level 4),100,,,,,,,,,,,,,,,,,,,,,
,,Manager – male (Level 3),100,,,,,,,,,,,,,,,,,,,,,
,,Manager – female (Level 3),100,,,,,,,,,,,,,,,,,,,,,
,,"Supervisor, superintendent, coordinator & senior technical specialist – male (Level 2)",100,,,,,,,,,,,,,,,,,,,,,
,,"Supervisor, superintendent, coordinator & senior technical specialist – female (Level 2)",100,,,,,,,,,,,,,,,,,,,,,
,,"Operator, technical advisor & other – male (Level 1)",100,,,,,,,,,,,,,,,,,,,,,
,,"Operator, technical advisor & other – female (Level 1)",100,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,"(1) In completing the above calculation, we have excluded employees who were not employed by Newcrest for the entire reporting period.  We also note that the amount reported above is based on completed performance ratings allocated (recognising that our policy is for all performance ratings to be accompanied by performance and career conversations).  Across our organisation, it is possible that there are examples of employees who have received a performance rating that was not accompanied by a performance and career conversation – we are not aware of such examples at the time of completing this report.  Tracking of actual development actions is also recorded, however not reported separately under this disclosure.",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,"GRI 405-1  Diversity of employees by level, gender and age group FY23 (1)(2)",,,,,,,,,,,,,,,,,,,,,,
,,Chief Executive Officer (Level 6),Company,Brucejack,Cadia,Lihir,Red Chris,Telfer,Exploration,Havieron,Namosi,Wafi-Golpu,Corporate Offices,,,,,,,,,,,
,,Total employees (#),1,,,,,,,,,,1,,,,,,,,,,,
,,Male (%),0,,,,,,,,,,0,,,,,,,,,,,
,,Female (%),100,,,,,,,,,,100,,,,,,,,,,,
,,<30 years of age (%),0,,,,,,,,,,0,,,,,,,,,,,
,,30-50 years of age (%),100,,,,,,,,,,100,,,,,,,,,,,
,,50+ years of age (%),0,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Executive (Level 5),,,,,,,,,,,,,,,,,,,,,,
,,Total employees (#),7,,,,,,,,,,7,,,,,,,,,,,
,,Male (%),57.14,,,,,,,,,,57.14,,,,,,,,,,,
,,Female (%),42.86,,,,,,,,,,42.86,,,,,,,,,,,
,,<30 years of age (%),0,,,,,,,,,,0,,,,,,,,,,,
,,30-50 years of age (%),57.14,,,,,,,,,,57.14,,,,,,,,,,,
,,50+ years of age (%),42.86,,,,,,,,,,42.86,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,General Manager (Level 4),,,,,,,,,,,,,,,,,,,,,,
,,Total employees (#),59,4,4,5,4,1,2,0,0,1,39,,,,,,,,,,,
,,Male (%),78,100,100,80,100,100,50,0,0,100,71.79,,,,,,,,,,,
,,Female (%),22,0,0,20,0,0,50,0,0,0,28.21,,,,,,,,,,,
,,<30 years of age (%),0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
,,30-50 years of age (%),49.2,100,75,40,25,100,0,0,0,0,46.15,,,,,,,,,,,
,,50+ years of age (%),50.9,0,25,60,75,0,100,0,0,100,53.85,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Manager (Level 3),,,,,,,,,,,,,,,,,,,,,,
,,Total employees (#),283,23,27,31,26,11,25,3,2,2,135,,,,,,,,,,,
,,Male (%),74.9,69.56521739130434,85.19,83.87,84.62,90.91,84,100,50,100,66.67,,,,,,,,,,,
,,Female (%),25.1,30.434782608695656,14.81,16.13,15.38,9.09,16,0,50,0,33.33,,,,,,,,,,,
,,<30 years of age (%),0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
,,30-50 years of age (%),66.8,73.91304347826086,77.78,58.06,61.54,72.73,64,33.33,50,0,67.41,,,,,,,,,,,
,,50+ years of age (%),33.2,26.08695652173913,22.22,41.94,38.46,27.27,36,66.67,50,100,32.59,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,"Supervisor, Superintendent, Coordinator (Level 2)",,,,,,,,,,,,,,,,,,,,,,
,,Total employees (#),1655,174,266,705,218,123,21,20,4,14,124,,,,,,,,,,,
,,Male (%),83,79.8850574712644,87.97,87.66,80.28,82.93,71.43,90,75,92.9,55.65,,,,,,,,,,,
,,Female (%),17,20.1149425287356,12.03,12.34,19.72,17.07,28.57,10,25,7.1,44.35,,,,,,,,,,,
,,<30 years of age (%),4.2,6.896551724137931,2.63,3.12,9.17,4.88,4.76,0,0,0,1.61,,,,,,,,,,,
,,30-50 years of age (%),69.4,64.9425287356322,77.44,68.51,65.14,64.23,71.43,60,25,85.7,78.23,,,,,,,,,,,
,,50+ years of age (%),26.5,28.735632183908045,19.92,28.37,25.69,30.89,23.81,40,75,14.3,20.16,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,"Operator, Technical Advisor (Level 1)",,,,,,,,,,,,,,,,,,,,,,
,,Total employees (#) ,4576,752,1046,1732,553,349,11,13,2,41,118,,,,,,,,,,,
,,Male (%),83.1,78.5904255319149,89.48,84.82,79.2,86.82,18.18,46.15,0,85.4,47.46,,,,,,,,,,,
,,Female (%),16.9,21.4095744680851,10.52,15.18,20.8,13.18,81.82,53.85,100,14.6,52.54,,,,,,,,,,,
,,<30 years of age (%),18.99,24.867021276595743,19.69,12.99,19.53,16.33,18.18,61.54,0,2.4,64.41,,,,,,,,,,,
,,30-50 years of age (%),60.16,54.12234042553191,59.08,70.27,51.36,52.72,63.64,30.77,100,73.2,25.42,,,,,,,,,,,
,,50+ years of age (%),20.84,21.01063829787234,21.22,16.74,29.11,30.95,18.18,7.69,0,24.4,10.17,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,"(1) Per Newcrest's system of record as at 30 June 2023 (headcount). 
(2) Newcrest currently captures two diversity indicators (age and gender). Newcrest will look to capture other additional diversity indicators in future reporting processes.",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,"GRI 405-1  Diversity of employees by level, gender and age group FY19-23",,,,,,,,,,,,,,,,,,,,,,
,,Chief Executive Officer (Level 6),FY23,FY22,FY21,FY20,FY19,,,,,,,,,,,,,,,,,
,,Total employees (#),1,1,1,1,1,,,,,,,,,,,,,,,,,
,,Male (%),0,100,100,100,100,,,,,,,,,,,,,,,,,
,,Female (%),100,0,0,0,0,,,,,,,,,,,,,,,,,
,,<30 years of age (%),0,0,0,0,0,,,,,,,,,,,,,,,,,
,,30-50 years of age (%),100,0,0,0,0,,,,,,,,,,,,,,,,,
,,50+ years of age (%),0,100,100,100,100,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Executive (Level 5),,,,,,,,,,,,,,,,,,,,,,
,,Total employees (#),7,6,7,7,8,,,,,,,,,,,,,,,,,
,,Male (%),57.14,66.67,71.4,71.4,87.5,,,,,,,,,,,,,,,,,
,,Female (%),42.86,33,28.6,28.6,12.5,,,,,,,,,,,,,,,,,
,,<30 years of age (%),0,0,0,0,0,,,,,,,,,,,,,,,,,
,,30-50 years of age (%),57.14,50,42.9,42.9,25,,,,,,,,,,,,,,,,,
,,50+ years of age (%),42.86,50,57.1,57.1,75,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,General Manager (Level 4),,,,,,,,,,,,,,,,,,,,,,
,,Total employees (#),59,54,40,43,46,,,,,,,,,,,,,,,,,
,,Male (%),78,81.5,85,83.7,84.8,,,,,,,,,,,,,,,,,
,,Female (%),22,18.5,15,16.3,15.2,,,,,,,,,,,,,,,,,
,,<30 years of age (%),0,0,0,0,0,,,,,,,,,,,,,,,,,
,,30-50 years of age (%),49.2,44.4,37.5,30.2,43.5,,,,,,,,,,,,,,,,,
,,50+ years of age (%),50.9,55.6,62.5,69.8,56.5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Manager (Level 3),,,,,,,,,,,,,,,,,,,,,,
,,Total employees (#),283,219,202,191,197,,,,,,,,,,,,,,,,,
,,Male (%),74.9,71.7,73.3,74.9,76.6,,,,,,,,,,,,,,,,,
,,Female (%),25.1,28.3,26.7,25.1,23.4,,,,,,,,,,,,,,,,,
,,<30 years of age (%),0,0,0,0,0,,,,,,,,,,,,,,,,,
,,30-50 years of age (%),66.8,66.2,66.8,69.6,68.5,,,,,,,,,,,,,,,,,
,,50+ years of age (%),33.2,33.8,33.2,30.4,31.5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,"Supervisor, Superintendent, Coordinator (Level 2)",,,,,,,,,,,,,,,,,,,,,,
,,Total employees (#),1655,1355,1208,1426,1409,,,,,,,,,,,,,,,,,
,,Male (%),83,84.1,86.1,86.1,86.5,,,,,,,,,,,,,,,,,
,,Female (%),17,15.9,13.9,13.9,13.5,,,,,,,,,,,,,,,,,
,,<30 years of age (%),4.2,3.6,3,2.8,3.1,,,,,,,,,,,,,,,,,
,,30-50 years of age (%),69.4,71.2,71.2,72.5,72.5,,,,,,,,,,,,,,,,,
,,50+ years of age (%),26.5,25.2,25.8,24.7,24.3,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,"Operator, Technical Advisor (Level 1)",,,,,,,,,,,,,,,,,,,,,,
,,Total employees (#) ,4576,3587,3464,4216,3674,,,,,,,,,,,,,,,,,
,,Male (%),83.1,84,85.2,87,86.2,,,,,,,,,,,,,,,,,
,,Female (%),16.9,16,14.8,13,13.8,,,,,,,,,,,,,,,,,
,,<30 years of age (%),18.99,16.5,15.1,13.2,13,,,,,,,,,,,,,,,,,
,,30-50 years of age (%),60.16,64.3,63.8,66.6,70.1,,,,,,,,,,,,,,,,,
,,50+ years of age (%),20.84,19.3,21,20.2,16.9,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,"Governance Committees - Diversity of employees by level, gender and age group (as at June 30 2023)",,,,,,,,,,,,,,,,,,,,,,
,,Board of Directors,Company,,,,,,,,,,,,,,,,,,,,,
,,Total employees (#),7,,,,,,,,,,,,,,,,,,,,,
,,Male (%),57.14,,,,,,,,,,,,,,,,,,,,,
,,Female (%),42.86,,,,,,,,,,,,,,,,,,,,,
,,<30 years of age (%),0,,,,,,,,,,,,,,,,,,,,,
,,30-50 years of age (%),14.29,,,,,,,,,,,,,,,,,,,,,
,,50+ years of age (%),85.71,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Audit & Risk Committee,,,,,,,,,,,,,,,,,,,,,,
,,Total employees (#),3,,,,,,,,,,,,,,,,,,,,,
,,Male (%),0,,,,,,,,,,,,,,,,,,,,,
,,Female (%),100,,,,,,,,,,,,,,,,,,,,,
,,<30 years of age (%),0,,,,,,,,,,,,,,,,,,,,,
,,30-50 years of age (%),33.33,,,,,,,,,,,,,,,,,,,,,
,,50+ years of age (%),66.67,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Human Resources & Renumeration Committee,,,,,,,,,,,,,,,,,,,,,,
,,Total employees (#),4,,,,,,,,,,,,,,,,,,,,,
,,Male (%),50,,,,,,,,,,,,,,,,,,,,,
,,Female (%),50,,,,,,,,,,,,,,,,,,,,,
,,<30 years of age (%),0,,,,,,,,,,,,,,,,,,,,,
,,30-50 years of age (%),0,,,,,,,,,,,,,,,,,,,,,
,,50+ years of age (%),100,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Safety & Sustainability Committee,,,,,,,,,,,,,,,,,,,,,,
,,Total employees (#),4,,,,,,,,,,,,,,,,,,,,,
,,Male (%),75,,,,,,,,,,,,,,,,,,,,,
,,Female (%),25,,,,,,,,,,,,,,,,,,,,,
,,<30 years of age (%),0,,,,,,,,,,,,,,,,,,,,,
,,30-50 years of age (%),25,,,,,,,,,,,,,,,,,,,,,
,,50+ years of age (%),75,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Nominations Committee,,,,,,,,,,,,,,,,,,,,,,
,,Total employees (#),3,,,,,,,,,,,,,,,,,,,,,
,,Male (%),66.67,,,,,,,,,,,,,,,,,,,,,
,,Female (%),33.33,,,,,,,,,,,,,,,,,,,,,
,,<30 years of age (%),0,,,,,,,,,,,,,,,,,,,,,
,,30-50 years of age (%),0,,,,,,,,,,,,,,,,,,,,,
,,50+ years of age (%),100,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,GRI 405-2  Ratio of basic salary and remuneration of women to men (%) FY23 (1)(2),,,,,,,,,,,,,,,,,,,,,,
,,,Brucejack,Cadia,Lihir,Red Chris,Telfer,Exploration,Havieron,Namosi,WGJV,Corporate offices,,,,,,,,,,,,
,,Basic salary of women to basic salary of men (3),81.9,81.7,81,90.6,87.4,65.5,68.1,82.2,87.8,85.2,,,,,,,,,,,,
,,Basic salary of women to basic salary of men (Board),,,,,,,,,,55.98,,,,,,,,,,,,
,,Basic salary of women to basic salary of men (Executive – Level 5),,,,,,,,,,92.4,,,,,,,,,,,,
,,Basic salary of women to basic salary of men (General Manager) - Level 4),,,94.2,,,80.6,,,,87.8,,,,,,,,,,,,
,,Basic salary of women to basic salary of men (Manager - Level 3),98,97.8,77.8,94.6,79.2,84.9,,112.9,69.5,96.9,,,,,,,,,,,,
,,"Basic salary of women to basic salary of men (Supervisor, superintendent, coordinator - Level 2)",93.7,83.9,83.9,96.4,92.9,81.3,89,82.5,98.6,90.2,,,,,,,,,,,,
,,"Basic salary of women to basic salary of men (Operator, technical advisor - Level 1)",76.9,78.6,84.5,91.4,83.4,80.2,88.7,,243.4,99,,,,,,,,,,,,
,,"(1) Only a ratio for Lihir, Corporate Offices and Exploration has been provided for the General Manager category. All General Managers at the other operating sites were male.
(2) We have defined basic salary as: salary, superannuation, location allowance, roster allowance and bonus.
(3) Excluding Board, as the GRI only requires employee categories. The board ratio is provided separately.",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,406-1 Incidents of discrimination and corrective actions taken FY23,,,,,,,,,,,,,,,,,,,,,,
,,"Three incidents of discrimination were reported for FY23. These related to allegations of discrimination and harassment in September 2022 at Brucejack. The incidents were investigated by the site HR team, and appropriate disciplinary action was taken in accordance with Company Standards. ",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,GRI 410-1  Security personnel trained in organisational human rights policies or procedures as at 30 June FY23 (1),,,,,,,,,,,,,,,,,,,,,,
,,,Company,Brucejack,Cadia,Lihir,Red Chris,Telfer,Exploration,Havieron,Namosi,WGJV,Corporate offices,,,,,,,,,,,
,,Total number of directly employed security employees & contractors (#),287,18,23,207,10,10,15,2,0,2,85.2,,,,,,,,,,,
,,Proportion of security employees and contractors trained in organisational human rights policies and procedures (%) (3),99.3,100,100,100,100,100,100,0,,100,87.8,,,,,,,,,,,
,,"(1) No data reported for Wafi-Golpu as site is under care and maintenance.
(2) The  two Emergency and Security Officers (ESO) were employed in the last two months of FY22 and have since undertaken site onboarding training.
(3)All security employees and contractors are required undertake, and maintain currency with, approved dedicated human rights awareness training.  ",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,"MM6 MM7  Significant events relating to land use, customary rights of local communities and Indigenous Peoples FY23",,,,,,,,,,,,,,,,,,,,,,
,,"Newcrest’s Community Concerns, Complaints and Grievances Guideline classifies grievances according to a risk and severity classification level of between 1 and 3. Level 3 grievances are 'Significant' and are reported in the table below for GRI disclosure but did not meet internal thresholds for reporting to the market.",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,"Total number of significant disputes related to land use or the customary rights of local communities associated with current, planned or proposed operations",,,"The extent to which grievance mechanisms were used to resolve disputes relating to land use, customary rights of local communities and Indigenous Peoples, and the outcomes",,,,,,,,,,,,,,,,,,,
,,Lihir,Status of the significant dispute,,Description of any actions taken including the use and outcome of any grievance procedures.,,,,,,,,,,,,,,,,,,,
,,Access to Environmental Monitoring Station blocked and Environment team were not able to retrieve data.,Resolved,,"The issue was reported to Bel Isi Grievance for resolution. After discussions with the landowner, it became clear that there was a misunderstanding regarding the payment frequency in the land use agreement. The landowner had thought it was monthly, but the agreement specified quarterly payments. Once this was clarified, the landowner granted access to the monitoring station for data retrieval by the Environment team.",,,,,,,,,,,,,,,,,,,
,,"Nimamar Local Level Government (NLLG) officials expressed their frustration with the delay in connecting power to the new assembly building. This delay strained the relationship between the LGL and the local government to the point where the President called for a halt to all activities in the broader Lihir community, including planned Close Out engagements related to the CRA agreements.",Resolved,,"No engagements were conducted with affected communities and the broader Lihirian community initially. However, LGL later engaged in discussions with the NLLG team through the Bel Isi Grievance process. As a result of these discussions, we took steps to address the issue and also installed a new transformer to facilitate the connection of power to the building, thereby resolving the issue.",,,,,,,,,,,,,,,,,,,
,,Threat to disrupt work at Phase 14A project due to a perceived lack of business opportunities by associated landowner companies.,Resolved,,"Concerns were raised through Bel Isi Grievance Process, and a business engagement strategy was implemented to prioritise work for the identified landowner companies. As a result, all of these companies have received equal and ongoing benefits from the Phase 14A project. ",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Wafi-Golpu,,,,,,,,,,,,,,,,,,,,,,
,,"In November 2022, Centre for Environmental Law and Community Rights Inc (CELCOR), Jubilee Australia, and the Evangelical Lutheran Church of PNG (Notifiers) lodged a complaint with the Australian OECD National Contact Point (AusNCP) against Newcrest Mining Limited and Harmony Gold (Australia) Pty Limited, alleging breaches of human rights and
environmental standards outlined in the OECD Guidelines for Multinational Enterprises regarding the proposed Deep Sea Tailings Placement for the Wafi-Golpu Project.",Ongoing,,"The AusNCP assessed the complaint and decided to consider the matters raised by it, which means the complaint can proceed to the next stage of the Aus NCP process (which is like mediation). After thoughtful consideration, Harmony Gold (Australia) and Newcrest Mining decided not to take part in the next stage. Importantly, the same issues raised with the AusNCP have also been raised in legal proceedings instituted in PNG, including by one of the Notifiers. Accordingly, we will await the outcome of those legal proceedings.",,,,,,,,,,,,,,,,,,,
,,Ongoing land disputes between landowner groups laying claim to the area the subject of the Project Special Mining Lease application. Resolution is ongoing through PNG Government processes,Ongoing,,Land ownership disputes will be heard and resolved through PNG court/legislative processes.,,,,,,,,,,,,,,,,,,,
