Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
,Permanent,0.12196627570746288,not reported,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
,Fixed term,0.005523246369277754,not reported,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
,Voluntary,0.09535722408135416,not reported,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
,Involuntary,0.032132297995386465,not reported,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1. Data refers to Telstra Direct headcount as defined above.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"2. Turnover is the number of employees who leave Telstra including all types of separation, based on HR data. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"3. Voluntary Separation includes Resignation, Resigned during Performance Management Process, Health Reasons, Personal Reasons, Job Abandonment.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"4. Involuntary Separation includes End of Fixed Term Contract, Dismissal, Redundancy.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5. Rate (%) refers to the proportion of new hires to total Direct Headcount.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Turnover by gender and age group and region1,2,3,4",,,,,,,,,,GRI Standards 401-1,,,,,,,,,,,,,,,,,,,
,Headcount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FY23,FY22,FY21,FY20,FY19,,,,,,,,,,,,,,,,,,,,,,,,
,Male,2299,2239,2728,2586,4299,,,,,,,,,,,,,,,,,,,,,,,,
,Female,1596,1479,1683,1093,2133,,,,,,,,,,,,,,,,,,,,,,,,
,Another option,11,not reported,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
,Not self-disclosed,18,19,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24 and under,854,635,280,222,315,,,,,,,,,,,,,,,,,,,,,,,,
,Male,427,302,128,116,184,,,,,,,,,,,,,,,,,,,,,,,,
,Female,420,328,151,89,131,,,,,,,,,,,,,,,,,,,,,,,,
,Another option,4,not reported,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
,Not self-disclosed,3,5,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25-34,1316,1349,1250,1010,1346,,,,,,,,,,,,,,,,,,,,,,,,
,Male,749,791,625,560,773,,,,,,,,,,,,,,,,,,,,,,,,
,Female,555,557,620,367,573,,,,,,,,,,,,,,,,,,,,,,,,
,Another option,4,not reported,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
,Not self-disclosed,8,1,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35-44,859,952,1069,977,1692,,,,,,,,,,,,,,,,,,,,,,,,
,Male,513,606,638,611,1023,,,,,,,,,,,,,,,,,,,,,,,,
,Female,340,340,424,293,669,,,,,,,,,,,,,,,,,,,,,,,,
,Another option,1,not reported,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
,Not self-disclosed,5,6,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45-54,521,436,770,804,1392,,,,,,,,,,,,,,,,,,,,,,,,
,Male,332,271,517,547,937,,,,,,,,,,,,,,,,,,,,,,,,
,Female,188,162,249,213,455,,,,,,,,,,,,,,,,,,,,,,,,
,Another option,1,not reported,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
,Not self-disclosed,0,3,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,55 +,374,365,781,896,1687,,,,,,,,,,,,,,,,,,,,,,,,
,Male,278,269,637,752,1382,,,,,,,,,,,,,,,,,,,,,,,,
,Female,93,92,140,131,305,,,,,,,,,,,,,,,,,,,,,,,,
,Another option,2,not reported,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
,Not self-disclosed,1,4,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Australia,3490,3200,3124,3354,5779,,,,,,,,,,,,,,,,,,,,,,,,
,Hong Kong,32,41,76,21,123,,,,,,,,,,,,,,,,,,,,,,,,
,Philippines,150,151,887,193,171,,,,,,,,,,,,,,,,,,,,,,,,
,India,166,252,104,62,not reported,,,,,,,,,,,,,,,,,,,,,,,,
,Singapore,25,not reported,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
,United Kingdom,24,not reported,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
,United States of America,11,not reported,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
,Other3,26,93,241,295,353,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1. Data refers to Telstra Direct headcount as defined above.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2. For FY23 1.2% of this workforce does not have age group data available due to the controlled entity type construct.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"3. Some of our workforce have selected to not self-disclose their gender, meaning that gender records may not be truly reflective of the diversity of our workforce.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"4. Other countries are Canada, China, Japan, Republic of Korea, Malaysia, New Zealand, Sweden, Taiwan, Thailand.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"5. In FY23, the 16-24 Age Group has been adjusted to 24 and under.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Parental leave by gender1,2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Headcount,,,,,,,,,,GRI Standards 401-3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FY23,FY22,FY21,FY20,FY19,,,,,,,,,,,,,,,,,,,,,,,,
,Male,971,1023,884,879,610,,,,,,,,,,,,,,,,,,,,,,,,
,Female,608,571,411,557,684,,,,,,,,,,,,,,,,,,,,,,,,
,Another option,2,not reported,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"1. Data refers to Telstra Direct headcount as defined above who returned to work after parental leave ended within the reporting period. This includes Australian employees only, as per our parental leave policy.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"2. Some of our workforce have selected to not self-disclose their gender, meaning that gender records may not be truly reflective of the diversity of our workforce.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Returned to work after parental leave1,2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Headcount,,,,,,,,,,GRI Standards 401-3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FY23,FY22,FY21,FY20,FY19,,,,,,,,,,,,,,,,,,,,,,,,
,Male,868,1012,877,877,602,,,,,,,,,,,,,,,,,,,,,,,,
,Female,383,562,409,548,631,,,,,,,,,,,,,,,,,,,,,,,,
,Another option,2,not reported,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"1. Data refers to Telstra Direct headcount as defined above who returned to work after parental leave ended within the reporting period. This includes Australian employees only, as per our parental leave policy.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"2. Some of our workforce have selected to not self-disclose their gender, meaning that gender records may not be truly reflective of the diversity of our workforce.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Return to work rate by gender1,2,3,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Percentage,,,,,,,,,,GRI Standards 401-3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FY23,FY22,FY21,FY20,FY19,,,,,,,,,,,,,,,,,,,,,,,,
,Male,0.893,0.989,0.9920814479638009,0.9977246871444824,0.9868852459016394,,,,,,,,,,,,,,,,,,,,,,,,
,Female,0.629,0.984,0.9951338199513382,0.9838420107719928,0.922514619883041,,,,,,,,,,,,,,,,,,,,,,,,
,Another option,1,not reported,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
,Total,0.793,0.987,0.993,0.992,0.95,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"1. Data refers to Telstra Direct headcount as defined above who returned to work after parental leave ended within the reporting period. This includes Australian employees only, as per our parental leave policy.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2. Rate calculated as Total number of employees that did return to work after parental leave/ Total number of employees due to return to work after taking parental leave x 100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3. Return to work defined as separation date being at least 3 days post last day of parental leave. Includes employee initiated separations.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"4. Some of our workforce have selected to not self-disclose their gender, meaning that gender records may not be truly reflective of the diversity of our workforce.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DIVERSITY AND INCLUSION,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Female representation in the workforce by employment level1,,,,,,,,,,GRI Standards 405-1,,,,,,,,,,,,,,,,,,,
,Count and Percentage ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FY23,,FY22,,FY21,,FY20,,FY19,,,,,,,,,,,,,,,,,,,,
,,Count,%,Count,%,Count,%,Count,%,Count,%,,,,,,,,,,,,,,,,,,,
,"Board 2
(Non-executive directors)",4,0.444,3,0.375,4,0.4,3,0.3,2,0.2,,,,,,,,,,,,,,,,,,,
,"Executive management 3
(Bands A, B and C)",70,0.389,69,0.39,56,0.344,50,0.304878048780488,50,0.296,,,,,,,,,,,,,,,,,,,
,"Middle management 4
(Bands 1 and 2)",3074,0.296,2848,0.287,2603,0.287,2591,0.282151802243276,2652,0.279,,,,,,,,,,,,,,,,,,,
,"Operational 5
(Bands 3 and 4)",7407,0.385,6037,0.36,5584,0.34,5908,0.34763165636952,5594,0.329,,,,,,,,,,,,,,,,,,,
,Other 6,280,0.288,455,not reported,207,not reported,531,not reported,674,not reported,,,,,,,,,,,,,,,,,,,
,Telstra Group Total ,10835,0.352,9412,0.335,8454,0.321,9083,0.322882229568803,8972,0.31,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1. Data refers to FY23 Telstra Group Direct headcount as defined above.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2. Number and percentage relates to non-executive Directors of Telstra Group Limited. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"3. Executive management comprises persons holding roles within Telstra designated as Bands A, B and C. CEO is also included in the executive management total. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"4. Middle management comprises persons holding roles within Telstra designated as Bands 1 or 2, or equivalent. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"5. Operational comprises persons holding roles within Telstra designated as Bands 3 or 4, or equivalent. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"6. In FY23, there are 280 employees that do not have band available due to the controlled entity type construct.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Female representation in the workforce by employment level: with Executive band breakdown1,,,,,,,,,,GRI Standards 405-1,,,,,,,,,,,,,,,,,,,
,Count and Percentage ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FY23,,FY22,,FY21,,FY20,,FY19,,,,,,,,,,,,,,,,,,,,
,,Count,%,Count,%,Count,%,Count,%,Count,%,,,,,,,,,,,,,,,,,,,
,Bands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Board2,4,0.444,3,0.375,4,0.4,3,0.3,2,0.2,,,,,,,,,,,,,,,,,,,
,Executive management 3,70,0.389,69,0.39,56,0.344,50,0.305,50,0.296,,,,,,,,,,,,,,,,,,,
,CEO,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
,CEO-1 (Band A),3,0.231,5,0.385,3,0.333,3,0.3,4,0.364,,,,,,,,,,,,,,,,,,,
,CEO-2 (Band B),17,0.354,18,0.375,18,0.36,18,0.346,16,0.32,,,,,,,,,,,,,,,,,,,
,CEO-3 (Band C),49,0.415,46,0.4,35,0.337,29,0.284,30,0.278,,,,,,,,,,,,,,,,,,,
,Middle Management4,3074,0.296,2848,0.287,2603,0.287,2591,0.282,2652,0.279,,,,,,,,,,,,,,,,,,,
,Operational5,7407,0.385,6037,0.36,5525,0.34,6152,0.346,5594,0.329,,,,,,,,,,,,,,,,,,,
,Other 6,280,0.288,9150,0.335,8243,0.321,9083,0.323,8300,0.311,,,,,,,,,,,,,,,,,,,
,Telstra Group Total,10835,0.352,9412,0.335,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1. Data refers to FY23 Telstra Group Direct headcount as defined above.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2. Number and percentage relates to non-executive Directors of Telstra Group Limited. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"3. Executive management comprises persons holding roles within Telstra designated as Bands A, B and C. CEO is also included in the executive management total. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"4. Middle management comprises persons holding roles within Telstra designated as Bands 1 or 2, or equivalent. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"5. Operational comprises persons holding roles within Telstra designated as Bands 3 or 4, or equivalent. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"6. In FY23, there are 280 employees that do not have band available due to the controlled entity type construct.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Female representation in the workforce by age distribution1,2",,,,,,,,,,GRI Standards 405-1,,,,,,,,,,,,,,,,,,,
,Percentage ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FY23,FY22,FY21,FY20,FY19,,,,,,,,,,,,,,,,,,,,,,,,
,24 and under,11.7,11,6.1,7.871848508202135,6.9,,,,,,,,,,,,,,,,,,,,,,,,
,25-34,30.3,30,29.8,32.32412198612793,32,,,,,,,,,,,,,,,,,,,,,,,,
,35-44,30.1,31,32.6,31.17912583948035,32.9,,,,,,,,,,,,,,,,,,,,,,,,
,45-54,19.6,20,21.6,19.828250578002862,20.9,,,,,,,,,,,,,,,,,,,,,,,,
,55+,8.4,8,8.2,7.145216338214247,7.3,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1. Data refers to FY23 Telstra Group Direct headcount as defined above.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2. For FY23 1.2% of this workforce does not have age group data available due to the controlled entity type construct.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"3. In FY23, the 16-24 Age Group has been adjusted to 24 and under.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Disability representation in the workforce1,2",,,,,,,,,,GRI Standards 405-1,,,,,,,,,,,,,,,,,,,
,Count and Percentage ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FY23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Count,%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Representation of Telstra’s graduate cohort who self identify as disabled or living with disability against a target of 12% by commencement in 2025,16,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Representation of workforce who self identify as disabled or living with disability,408,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1. Data refers to FY23 Telstra Group Direct headcount as defined above.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"2. Some of our workforce have selected to not self-disclose their disability, meaning that records may not be truly reflective of the diversity of our workforce.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PAY EQUITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gender Pay Equity: Compa-ratio¹,,,,,,,,,,GRI Standards 405-2,,,,,,,,,,,,,,,,,,,
,Compa-ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FY23,FY22,FY21,FY20,FY19,,,,,,,,,,,,,,,,,,,,,,,,
,Australian Average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Male,1,0.98,1.01,0.98,1.01,,,,,,,,,,,,,,,,,,,,,,,,
,Female,0.97,0.95,0.97,0.95,0.97,,,,,,,,,,,,,,,,,,,,,,,,
,Delta,0.024,0.026,0.042 ,0.035,0.034,,,,,,,,,,,,,,,,,,,,,,,,
,Australian Average excluding Workstream²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Male,0.99,0.97,0.98,0.93,0.96,,,,,,,,,,,,,,,,,,,,,,,,
,Female,0.97,0.95,0.96,0.94,0.95,,,,,,,,,,,,,,,,,,,,,,,,
,Delta,0.024,0.023,0.026,0.015,0.011,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"1. Compa-ratio analysis includes full time and part time staff in Telstra Group and its controlled entities, excluding casuals, contractors and agency staff. It does not include staff in any other controlled entities within the Telstra Group. Compa-ratio is based on Fixed Remuneration (base salary plus superannuation).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2. Workstream employees are paid fixed pay rates as determined under the Telstra Enterprise Agreement. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RECONCILIATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Reconciliation Action Plan update1,,,,,,,,,,GRI Standards 405-1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FY23,FY22,FY21,FY20,FY19,,,,,,,,,,,,,,,,,,,,,,,,
,Annual spend with Supply Nation certified or registered Indigenous suppliers (millions of dollars) against a $15 million target,20.8,14.1,5.4,"2.7
",1.785,,,,,,,,,,,,,,,,,,,,,,,,
,Percentage of workforce who self identify as Aboriginal or Torres Strait Islander against a 1.5% target,0.011,0.01,0.01,0.0088,0.009,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"1. Data refers to FY23 Telstra Group Direct headcount as defined above, but only includes the Australian workforce.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EMPLOYEE LEARNING AND CAPABILITY DEVELOPMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Average hours of training per year per employee1,2",,,, , ,,,,,GRI Standards 404-1,,,,,,,,,,,,,,,,,,,
,,, , , , ,,,,, ,,,,,,,,,,,,,,,,,,,
,,FY23,FY22,FY21,FY20,,,,,, ,,,,,,,,,,,,,,,,,,,
,,Average hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Executive management (Bands A, B and C)",6.47,8.53,5.48,11.86,,,,,, ,,,,,,,,,,,,,,,,,,,
,Male,6.08,7.47,5.38,12.06,,,,,,,,,,,,,,,,,,,,,,,,,
,Female,7.12,10.23,5.67,11.43,,,,,,,,,,,,,,,,,,,,,,,,,
,Another option,not reported,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,,
,Not self-disclosed,not reported,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,,
,Middle management (Bands 1 and 2),14.52,16.22,14.37,11.24,,,,,, ,,,,,,,,,,,,,,,,,,,
,Male,14.42,15.04,15.04,10.97,,,,,, ,,,,,,,,,,,,,,,,,,,
,Female,14.83,19.16,12.75,11.95,, , , ,, ,,,,,,,,,,,,,,,,,,,
,Another option,not reported,not reported,not reported,not reported,,,,,, ,,,,,,,,,,,,,,,,,,,
,Not self-disclosed,9.2,16.57,11.29,11.32,,,,,, ,,,,,,,,,,,,,,,,,,,
,Operational (Bands 3 and 4) ,16.76,15.41,16.85,12.69,, , , ,, ,,,,,,,,,,,,,,,,,,,
,Male,16.87,15.42,17.33,13.87,,,,,, ,,,,,,,,,,,,,,,,,,,
,Female,16.61,15.46,15.75,10.47,,,,,,,,,,,,,,,,,,,,,,,,,
,Another option,not reported,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,,
,Undisclosed,15.41,11.73,28.49,10.97,,,,,,,,,,,,,,,,,,,,,,,,,
,Overall Telstra,15.86,15.67,15.77,11.96,,,,,, ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes:,, , , , , , , ,, ,,,,,,,,,,,,,,,,,,,
,1 - Data refers to FY23 Telstra Group Direct headcount as defined above.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2 -Training refers to all types of vocational training and instruction; paid educational leave provided by for employees; training or education pursued externally and paid for in whole or in part by Telstra; and training on specific topics. Training does not include on-site coaching by supervisors.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"HEALTH, SAFETY AND WELLBEING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Absenteeism Rates1,2",,,,,,,,,,GRI Standards 403-2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FY23,FY22,FY21,FY20,FY19,,,,,,,,,,,,,,,,,,,,,,,,
,Australia,0.019,0.038,0.028,0.029712433441994493,0.032909229483813654,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1. Data refers to Telstra Direct Workforce as defined above.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2. Number of actual absenteeism days lost (due to incapacity of any kind) as a percentage of total days scheduled to be worked by workforce.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Telstra workplace health and safety indicators1,,,,,,,,,,GRI Standards 403-2,,,,,,,,,,,,,,,,,,,
,Key performance indicator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FY23,FY22,FY21,FY20,FY19,% change FY22 - FY23,,,,,,,,,,,,,,,,,,,,,,,
,New accepted workers' compensation claims,91,113,111,122,159,-0.19469026548672566,,,,,,,,,,,,,,,,,,,,,,,
,Open workers' compensation claims2,451,438,463,502,1019,0.02968036529680365,,,,,,,,,,,,,,,,,,,,,,,
,Fatalities,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1 - Data refers to FY23 Telstra Group Direct headcount as defined above.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"2 - From FY20, only claims with activity within the most recent one month are counted as 'open'. Previously claims with activity within the most recent four months were counted as 'open'.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3 - We have restated data from previous years to report on new acceptable workers' comepnsation claims only.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Telstra Total Recordable Injury Frequency Rate1,,,,,,,,,,GRI Standards 403-2,,,,,,,,,,,,,,,,,,,
,Key performance indicator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FY23,FY22,FY21,FY20,FY19,% change FY22 - FY23,,,,,,,,,,,,,,,,,,,,,,,
,"TRIFR 2,3,4",7.92,8.44,6.7,7.3,8.4,-0.061611374407582895,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1 - Data refers to FY23 Telstra Group Direct headcount as defined above.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"2 - In 2019, we updated how we calculate our TRIFR to include mental health incidents and remove claims that were rejected. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3 - TRIFR refers to the rate of occurrence of all injuries requiring intervention beyond simple first aid.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4 - We have restated data from FY22 to account for increase in TRIFR due to escalation in injury severity post initial report.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
