Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83
Total CO2e emissions tonnes,0.011747790558508138,22157.153584699998,21899.8784,,,Total CO2e emissions tonnes,0.4417322175637534,3949.9733,2739.7412999999997,,,AU - Staff turnover_employee initiated,15.29,,NZ - Staff turnover_employee initiated,13.26,,,,,,,,,,,,,,,,,Sum of Total Data,,,,,,,,,4846.803801000007,1703.3609714999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Row Labels,FY19,FY20,FY21,FY22,FY23,Grand Total
,,,,,,,,FY23,FY22,,,AU - Staff turnover_employer initiated,3.68,,NZ - Staff turnover_employer initiated,0.26,,,,,,,,,,,,,,,,,Units,Financial Year,Quarter,Total,,,,,,4568.244609900001,1422.7560331999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Women in workforce [%],156.24,172.4,186.29,169.69000000000003,168.06,852.6800000000001
,Average FTE,7741.6,8125,,,,Emissions (inc scope 3),3949.9733,2739.7412999999997,,,,,,,,,,,,,,,,,,,,,,,,L,FY19,Q1,720011.1500000001,,,,,FY19,4519.072440199998,1474.3293744000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AU - Women in the workforce,57.75,58.22,58.71,59.46,59.58,293.72
,,2.862089695243877,2.6953696492307695,,,,Average FTE,3654.7875,3512,,,,,,,,,,,,,,,,,,,,,,,,,,Q2,724472.3399999999,,,,,,4253.0493995000015,1473.1926114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AU - Women on the board,40,40,40,27.27,20,167.27
,,,,,,,Intensity tCO2e / FTE,1.0807668845315905,0.780108570615034,,,Country,Australia,,Country,New Zealand,,,,,,,,,,,,,,,,,,,Q3,692706.71,,,,,,4130.702458200001,1538.1132627000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AU - Women in senior management positions,36.27,40.85,43.14,42.96,44.04,207.26
,,,,,,,,,,,,Financial Year,FY23,,Financial Year,FY23,,,,,,,,,,,,,,,,,,,Q4,639676.72,,,,,,4004.2986738000004,1426.5646170999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AU - Women in executive positions,22.22,33.33,44.44,40,44.44,184.43
,Group,,,,,,,,,,,Quarter,Q4,,Quarter,Q4,,,,,,,,,,,,,,,,,,FY20,Q1,641922.52,,,,,FY20,3983.2537375999987,1423.8086589000004,,,,,,,,,,,,,,Sum of Total Data,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,
GHG emissions (tCO2-e),Change,FY23,FY22,,,,scope 1,scope 2,scope 3,Total,,Month,Jun,,Month,Jun,,,,,,,,,,,,,,,,,,,Q2,631866.71,,,,,,3270.2377944,1106.4546120000002,,,,,,,,,,,,,,Row Labels,FY19,FY20,FY21,FY22,FY23,Grand Total,,,,,,,,,,,,,,,,,,,,
Scope 1,,,,,,Electricity,,9728.544199999998,,9728.544199999998,,,,,,,,,,,,,,,,,,,,,,,,,Q3,546148.85,,,,,,3295.7583845,1319.4195734999998,,,,,,,,,,,,,,Australia,3780.5098,3507.9999,1277,1640.9700000000003,6477.400100000001,16683.879800000002,,,,,,,,,,,,,,,,,,,,
Company vehicles,0.09721782965119391,4821.283,4394.0983,y + T&D,,Vehicles,4821.283,,,4821.283,,Row Labels,Sum of Actual Data,,Row Labels,Sum of Actual Data,,,,,,,,,,,,,,,,,,,Q4,340678.84,,,,,,3376.1317159999985,1037.6068953000001,,,,,,,,,,,,,,New Zealand,1463.4501999999998,1974.0001000000002,1112.0001,1118.9996999999998,2812.5,8480.9501,,,,,,,,,,,,,,,FY19,FY20,FY21,FY22,FY23,
- Tool of Trade,0.09470146704915104,3009.3431999999993,2749.0081,,,Business travel,,,4300.985699999999,4300.985699999999,,Women in workforce [%],168.06,,Women in workforce [%],110.57,,,,,,,,,,,,,,,,,,FY21,Q1,379967.78,,,,,FY21,3345.9517842000005,1022.5431245999999,,,,,,,,,,,,,,Grand Total,5243.959999999999,5482,2389.0001,2759.9697,9289.9001,25164.829900000004,,,,,,,,,,,,,,Women in executive positions,0.22,0.33,0.44,0.4,0.44439999999999996,
- Salary Package vehicles,0.11086546674341911,987.6596,889.0902000000001,,,Working from home,,,2863.2689,2863.2689,,AU - Women in executive positions,44.44,,NZ - Women in senior management positions,48.48,,,,,,,,,,,,,,,,,,,Q2,424513.78,,,,,,3358.093675400001,1063.6076534000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Women on the Board,0.4,0.4,0.4,0.27,0.2,
Building refrigerant,-0.006542178468899528,207.6326847,209,y + T&D,,Transmission & distribution losses,,,2217.283,2217.283,,AU - Women in senior management positions,44.04,,NZ - Women in the workforce,62.09,,,,,,,,,,,,,,,,,,,Q3,445501.92000000004,,,,,,3120.7051579000004,1001.607964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Women in senior management positions,0.37,0.41,0.43,0.44,0.4492753623188406,
Natural Gas / Stationary LPG,1.2113838345864658,588.2280999999999,266,y + T&D,,Paper,,,797.1428,797.1428,,AU - Women in the workforce,59.58,,,,,,,,,,,,,,,,,,,,,,Q4,428754,,,,,,3055.9682718999966,768.5360542999999,,,,,,,,,,,,,,Volunteer Hours,FY19,FY20,FY21,FY22,FY23,,,,,,,,,,,,,,,,,,,,,
Scope 2,,,,,,Natural Gas,588.2280999999999,,,588.2280999999999,,AU - Women on the board,20,,,,,,,,,,,,,,,,,,,,,FY22,Q1,259311.46999999997,,,,,FY22,2895.6806444999993,797.1912166000001,,,,,,,,,,,,,,Australia,3780.5098,3507.9999,1277,1640.9700000000003,6477.400100000001,,,,,,,,,,,,,,,,,,,,,
Electricity,-0.10766621171929766,9728.544199999998,10902.36,,,Waste,,,582.7585000000004,582.7585000000004,,,,,,,,,,,,,,,,,,,,,,,,,Q2,370562.93000000005,,,,,,2894.071235300001,849.7683339,,,,,,,,,,,,,,New Zealand,1463.4501999999998,1974.0001000000002,1112.0001,1118.9996999999998,2812.5,,,,,,,,,,,,,,,,,,,,,
Scope 3,,,,,,Refrigerants,207.6326847,,,207.6326847,,,,,,,,,,,,,,,,,,,,,,,,,Q3,371911.67999999993,,,,,,2959.277840099999,1019.0382976999998,,,,,,,,,,,,,,Group Total,5243.959999999999,5482,2389.0001,2759.9697,9289.9001,,,,,,,,,,,,,,,,,,,,,
Electricity (T&D Losses),-0.2109633740080849,843.1961000000002,1068.64,,,Scope total,5409.511100000001,9728.544199999998,10761.4389,,,Country,Australia,,Country,New Zealand,,,,,,,,,,,,,,,,,,,Q4,401605.96,,,,,,2957.2701424,994.2367907999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat Gas / Stationary LPG (T&D Losses),8.740318257956448,174.44909999999996,17.91,,,,0.20720538935917573,0.3726412149998084,0.41220511357107287,,,Financial Year,FY23,,Financial Year,FY23,,,,,,,,,,,,,,,,,,FY23,Q1,410849.38000000006,,,,,FY23,2937.940389799999,952.0798497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Working from Home,-0.2707191567116319,2863.2689,3926.1540000000005,Y,,,,,,,,Quarter,Q4,,Quarter,Q4,,,,,,,,,,,,,,,,,,,Q2,378722.02,,,,,,2863.2237900000005,1069.2824365000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Travel,2.669184407665505,4212.2237,1148,Y - all business travel,,,,,,,,Month,Jun,,Month,Jun,,,,,,,,,,,,,,,,,,,Q3,386597.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Company Vehicles fuel (T&D Losses),4.261569298245613,1199.6377999999997,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q4,361419.63000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Tool of Trade,4.262248226950353,741.9769999999999,141,,,,,,,,,Row Labels,Sum of Actual Data,,Row Labels,Sum of Actual Data,,,,,,,,,,,,,,,,,Grand Total,,,9557201.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Salary Package vehicles,4.276485106382979,247.9948,47,,,,,,,,,Employees [persons],8468,,Employees [persons],3962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office Paper,2.5784126984126985,4.5088,1.26,,,,,,,,,AU - Staff Age <30 years,1121,,NZ - Staff Age >50 years,1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Print Paper,-0.6184852753473796,792.634,2077.5974,,,,,,,,,AU - Staff Age >50 years,2010,,NZ - Staff Age 30-50 years,2276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taxi Travel,0.9139661654135336,50.9115,26.6,,,,,,,,,AU - Staff Age 30-50 years,5337,,NZ Staff Age <30 years,662,,,,,,,,,,,,,,,,,Country,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General waste,0.6142894736842115,582.7585000000004,361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Item Number,(All),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal vehicles,,26.280499999999996,0,,,,,,,,,AU - Staff Age <30 years,0.13238072744449694,,NZ - Staff Age >50 years,0.2584553255931348,,,,,,,,,,,,,,,,,Data Type,Electricity [kWh],,,,,,,,,,,,,,,,,,,,,,,Sum of Total Data,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,
Car hire,-0.10999999999999997,11.57,13,,,,,,,,,AU - Staff Age >50 years,0.23736419461502126,,NZ - Staff Age 30-50 years,0.574457344775366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Row Labels,Australia,New Zealand,Grand Total,,,,,,,,,,,,,,,,,,,,,,,
Total Scope 1,0.1536312143667342,5617.143784700001,4869.0983,,,,,,,,,AU - Staff Age 30-50 years,0.6302550779404819,,NZ Staff Age <30 years,0.16708732963149925,,,,,,,,,,,,,,,,,Sum of Total Data,,,,,,,,,,,,,,,,,,,,,,,,FY19,9359802.2101,2393156.3993,11752958.6094,,,,,,,,,,,,,,,,,,,,,,,
Total Scope 2,-0.10766621171929766,9728.544199999998,10902.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Units,Financial Year,Quarter,Total,,,mWh,,,,,,,,,,,,,,,,,,FY20,19697493,1427920.3996,21125413.3996,,,,,,,,,,,,,,,,,,,,,,,
Total Scope 1 + 2,-0.02699625533676883,15345.687984699998,15771.4583,425.77031530000204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kWh,FY19,Q1,1703360.9714999995,,FY19,1703.3609714999996,,,,,,,,,,,,,,,,,,FY21,13000031,1094336.4411,14094367.4411,,,,,,,,,,,,,,,,,,,,,,,
Total Scope 3,0.2134915474136497,10761.4389,8868.1614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q2,1422756.0331999995,,,1422.7560331999996,,,,,,,,,,,,,,Option 1,,,,FY22,14554724.720099999,1608939.6301000002,16163664.3502,,,,,,,,,,,,,,,,,,,,,,,
Total CO2e emissions tonnes,0.059558840703210714,26107.126884699996,24639.619700000003,,,,,,,,,Country,Australia,,Country,New Zealand,,,,,,,,,,,,,,,,,,,Q3,1474329.3744000006,,,1474.3293744000005,,,,,,,,,,,,,,,,,,FY23,9260879.2002,1823811.1789,11084690.3791,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Financial Year,FY23,,Financial Year,FY23,,,,,,,,,,,,,,,,,,,Q4,1473192.6114,,,1473.1926114,,,,,,,,,,,,,,,,,,Grand Total,65872930.1304,8348164.049000001,74221094.1794,,,,,,,,,,,,,,,,,,,,,,,
,Check,0,,,,,,,,,,Quarter,Q4,,Quarter,Q4,,,,,,,,,,,,,,,,,,FY20,Q1,1538113.2627,,FY20,1538.1132627000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q2,1426564.6171,,,1426.5646170999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Row Labels,Average of Actual Data,,Row Labels,Average of Actual Data,,,,,,,,,,,,,,,,,,,Q3,1423808.6589000004,,,1423.8086589000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Scope 1, 22%",Electricity,,,,,LTIFR [Rate per Million],0.9766666666666666,,LTIFR [Rate per Million],0.5633333333333334,,,,,,,,,,,,,,,,,,,Q4,1106454.6120000002,,,1106.4546120000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Scope 1, 22%",Business travel,,,,,Apr,0.95,,Apr,0.34,,,,,,,,,,,,,,,,,,FY21,Q1,1319419.5735,,FY21,1319.4195734999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Year,FY23,,,,,"Scope 1, 22%",Vehicles,4821.283,,,,May,1.03,,May,0.68,,,,,,,,,,,,,,,,,,,Q2,1037606.8953000001,,,1037.6068953000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Scope 1, 22%",Paper,,,,,Jun,0.95,,Jun,0.67,,,,,,,,,,,,,,,,,,,Q3,1022543.1246,,,1022.5431245999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sum of Actual Data,Column Labels,,,,,"Scope 1, 22%",LPG,588.2280999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,Q4,1063607.6534000002,,,1063.6076534000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,Australia,New Zealand,Grand Total,,,"Scope 1, 22%",Waste,,,,,,,,,,,,,,,,,,,,,,,,,,,FY22,Q1,1001607.964,,FY22,1001.607964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electricity Generated - Used Onsite - Solar,91991.68800000001,119467.40000000001,211459.08800000002,,,"Scope 1, 22%",Refrigerants,207.6326847,,,,Country,Australia,,Country,New Zealand,,,,,,,,,,,,,,,,,,,Q2,768536.0543,,,768.5360542999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Total,91991.68800000001,119467.40000000001,211459.08800000002,,,"Scope 1, 22%",Working from home,,,,,Financial Year,FY23,,Financial Year,FY23,,,,,,,,,,,,,,,,,,,Q3,797191.2166,,,797.1912166000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Quarter,Q4,,Quarter,Q4,,,,,,,,,,,,,,,,,,,Q4,849768.3339,,,849.7683339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Scope 2, 37%",Electricity,9728.544199999998,,,,,,,,,,,,,,,,,,,,,,,,,,FY23,Q1,1019038.2976999998,,FY23,1019.0382976999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Scope 2, 37%",Business travel,,,,,Row Labels,Average of Actual Data,,Row Labels,Average of Actual Data,,,,,,,,,,,,,,,,,,,Q2,994236.7907999997,,,994.2367907999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Australia,,,,,"Scope 2, 37%",Vehicles,,,,,M to F Salary ratios [M to F ratio],1.0575,,M to F Salary ratios [M to F ratio],1.0625,,,,,,,,,,,,,,,,,,,Q3,952079.8496999999,,,952.0798497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Year,FY23,,,,,"Scope 2, 37%",Paper,,,,,AU - M:F salary ratio average (general employees),1.11,,NZ - M:F salary ratio average (general employees),1.13,,,,,,,,,,,,,,,,,,,Q4,1069282.4365,,,1069.2824365000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item Number,(Multiple Items),,,,,"Scope 2, 37%",LPG,,,,,AU - M:F salary ratio average (heads of/GM),1.04,,NZ - M:F salary ratio average (heads of/GM),1.1,,,,,,,,,,,,,,,,,Grand Total,,,23463498.331500005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Scope 2, 37%",Waste,,,,,AU - M:F salary ratio average (senior manager),1.01,,NZ - M:F salary ratio average (senior manager),0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sum of Total Data,,,,,,"Scope 2, 37%",Refrigerants,,,,,AU - M:F salary ratio av'ge (mgers/snr specialist),1.07,,NZ - M:F salary ratio av'ge (mger/snr specialist),1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Option 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Type,Units,Total,,,,"Scope 2, 37%",Working from home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business flights [pkm],pkm,10750979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer Complaints Resolved [%],percentage,1200,,,,"Scope 3, 41%",Transmission & distribution losses,2217.283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diesel Transport post-2004 [L],L,1134434.66,,,,"Scope 3, 41%",Business travel,4300.985699999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electricity [kWh],kWh,11717712.162299989,,,,"Scope 3, 41%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethanol E10 Transport post-2004 [L],L,80443.42999999998,,,,"Scope 3, 41%",Paper,797.1428,,,,,Country,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natural Gas [GJ],GJ,1658.7956000000001,,,,"Scope 3, 41%",,,,,,,Financial Year,FY23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office Paper - Carbon Neutral [kg],kg,11065.979999999998,,,,"Scope 3, 41%",Waste,582.7585000000004,,,,,Item Number,(All),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office Paper [kg],kg,3604.9,,,,"Scope 3, 41%",Refrigerants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petrol Transport post-2004 [L],L,322710.2800000001,,,,"Scope 3, 41%",Working from home,2863.2689,Check,,,,,,Values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Print Paper [kg],kg,696983.4210000001,,,,,,10761.438899999997,True,,,,Data Type,Units,Sum of Total Data,Sum of Total GJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recycling - Cardboard [t],t,73.42139999999993,,,,,,,,,,,Business flights [pkm],pkm,3479996.2199999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recycling - Co-mingle [t],t,79.50540000000005,,,,Australia,22157.153584699998,0.8487054653809323,,,,,Diesel Transport post-2004 [kL],(blank),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recycling - Organics [t],t,18.418000000000006,,,,New Zealand,3949.9733,0.15129939479832996,,,,,Electricity [kWh],kWh,4034637.3746999996,14524.695300000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recycling - Paper [t],t,85.75949999999972,,,,,,,,,,,LPG Stationary [L],L,322809.60539999994,8296.2069,,,,,,,,,,,,,,,,,Country,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rental Car [t CO2e],,11.57,,,,,,,,,,,Office Paper - Carbon Neutral [kg],kg,1259.8719999999998,,,,,,,,,,,,,,,,,,Item Number,(All),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taxi Travel [km],km,169090,,,,,,,,,,,Office Paper [kg],kg,436.59000000000003,,,,,,,,,,,,,,,,,,Data Type,(Multiple Items),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waste General [t],t,221.6781999999999,,,,Scope,Source,Value,,,,,Personal Vehicles [km],km,121810.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water [kL],kL,12102.102799999999,,,,"Scope 1&2, 59%",Refrigerants,207.6326847,,,,,Petrol Transport post-2004 [L],L,356429.49,12189.8885,,,,,,,,,,,,,,,,,Sum of Total Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Working From Home [kg CO2e],kg CO2e,2563453.2776,,,,"Scope 1&2, 59%",LPG,588.2280999999999,,,,,Print Paper [kg],kg,55493.280000000006,,,,,,,,,,,,,,,,,,Units,Financial Year,Quarter,Total,,,NZ fleet,NZ fuel usage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Total,,27465928.36179999,,,,"Scope 1&2, 59%",Vehicles,4821.283,,,,,Recycling - Cardboard [t],t,57.32240000000002,,,,,,,,,,,,,,,,,,Cars,FY19,Q1,1001,,FY19,1001,133958.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Scope 1&2, 59%",Electricity,9728.544199999998,,,,,Recycling - Co-mingle [t],t,17.5292,,,,,,,,,,,,,,,,,,,,Q2,980,,,980,135335.62999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Scope 3, 41%",Transmission & distribution losses,2217.283,,,,,Recycling - Organics [t],t,10.1982,,,,,,,,,,,,,,,,,,,,Q3,958,,,958,132815.38999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Australia,,,,,"Scope 3, 41%",Waste,582.7585000000004,,,,,Recycling - Paper [t],$,,,,,,,,,,,,,,,,,,,,,Q4,956,,,956,131452.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Year,FY23,,,,,"Scope 3, 41%",Paper,797.1428,,,,,,t,17.64300000000001,,,,,,,,,,,,,,,,,,,FY20,Q1,963,,FY20,963,129601.04000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarter,Q4,,,,,"Scope 3, 41%",Working from home,2863.2689,,,,,Taxis - Cost,$,101095.13,,,,,,,,,,,,,,,,,,,,Q2,957,,,957,135779.86000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Month,Jun,,,,,"Scope 3, 41%",Business travel,4300.985699999999,Check,,,,Vehicle Number - Cars,Cars,3016,,,,,,,,,,,,,,,,,,,,Q3,972,,,972,126660.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,26107.126884699996,True,,,,Waste General [t],t,226.59690000000006,,,,,,,,,,,,,,,,,,,,Q4,977,,,977,53403.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sum of Total Data,,,,,,,,,,,,,Working From Home [kg CO2e],kg CO2e,299815.9865,,,,,,,,,,,,,,,,,,,FY21,Q1,941,,FY21,941,99523.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Type,Units,Total,,,,,,,,,,,Grand Total,,8777129.2083,35010.790700000005,,,,,,,,,,,,,,,,,,,Q2,847,,,847,108132.45000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle Number - Total,Total Vehicles,982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q3,849,,,849,104979.73000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Total,,982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q4,832,,,832,112436.79999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FY22,Q1,790,,FY22,790,76856.48000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Country,New Zealand,,,,,,,,,,,,,,,,,,,,,Q2,790,,,790,76411.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Financial Year,FY23,,,,,,,,,,,,,,,,,,,,,Q3,779,,,779,83289.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Quarter,Q4,,,,,,,,,,,,,,,,,,,,,Q4,785,,,785,90226.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
