Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,,,,304-3,Habitats protected or restored ,Sustainability Report – Environment - Biodiversity,2023 Sustainability Report (page 147-154),Information unavailable/incomplete, MinRes will work on enhancing disclosures year-on-year to increase our alignment with the framework. 
,,,,,,,304-4,IUCN Red List species and national conservation list species with habitats in areas affected by operations,Sustainability Report – Environment - Our Biodiversity Performance,2023 Sustainability Report (page 153-154),,
,,,,,,,,,Sustainability Performance Data Tables - Biodiversity & Land Management,2023 Sustainability Performance Data Tables - Biodiversity & Land Management,,
,,,,,,GRI G4 MM: Biodiversity,MM1,"Amount of land (owned or leased, and managed for production activities or extractive use) disturbed or rehabilitated",Sustainability Report – Environment - Land Management and Rehabilitation,2023 Sustainability Report (page 154-157),,
,,,,,,,,,Sustainability Performance Data Tables - Biodiversity & Land Management,2023 Sustainability Performance Data Tables - Biodiversity & Land Management,,
,,,,,,GRI 306: Waste 2020 ,306-1,Waste generation and significant waste-related impacts,Sustainability Report - Environment - Non-Mineral Waste,2023 Sustainability Report (page 137-139),,
,,,,,,,,,Sustainability Performance Data Tables - Waste & Tailings,2023 Sustainability Performance Data Tables - Waste & Tailings,,
,,,,,,,306-2,Management of significant waste-related impacts ,Sustainability Report - Environment - Non-Mineral Waste,2023 Sustainability Report (page 137-139),,
,,,,,,,306-3,Waste generated,Sustainability Report - Environment - Non-Mineral Waste,2023 Sustainability Report (page 137-139),,
,,,,,,,,,Sustainability Performance Data Tables - Waste & Tailings,2023 Sustainability Performance Data Tables - Waste & Tailings,,
,,,,,,,306-4,Waste diverted from disposal,Sustainability Report - Environment - Non-Mineral Waste,2023 Sustainability Report (page 137-139),,
,,,,,,,,,Sustainability Performance Data Tables - Waste & Tailings,2023 Sustainability Performance Data Tables - Waste & Tailings,,
,,,,,,,306-5,Waste directed to disposal,Sustainability Report - Environment - Non-Mineral Waste,2023 Sustainability Report (page 137-139),,
,,,,,,,,,Sustainability Performance Data Tables - Waste & Tailings,2023 Sustainability Performance Data Tables - Waste & Tailings,,
,,,,,,GRI G4 MM: Effluents and waste,G4-EN23,Total weight of waste by type and disposal method ,Sustainability Report - Environment - Our Non-Mineral Waste Performance,2023 Sustainability Report (page 137-139),,
,,,,,,,,,Sustainability Performance Data Tables - Waste & Tailings,2023 Sustainability Performance Data Tables - Waste & Tailings,,
,,,,,,,MM3,"Total amount of overburden, rock, tailings, and sludges and their associated risks",Sustainability Report - Environment - Tailings and Mining Waste,2023 Sustainability Report (page 139-147),,
,,,,,,,,,Sustainability Performance Data Tables - Waste & Tailings,2023 Sustainability Performance Data Tables - Waste & Tailings,,
,,,,,,GRI G4 - MM: Artisanal and Small-scale Mining ,MM8,"Number (and percentage) of company operating sites where artisanal and small-scale mining takes place on, or adjacent to, the site; the associated risks and the actions taken to manage and mitigate these risks ",Sustainability Performance Data Tables - Waste & Tailings,2023 Sustainability Performance Data Tables - Waste & Tailings,,
,,,,,,,,,"MinRes has 0 operations (0%) where artisanal and small scale mining (ASM) takes place on, or adjacent to the site",,,
,,,,,,,,,,,,
,,,,,,Material Topic: Climate change,,,,,,
,,,,,,GRI 3: Material Topics 2021: Disclosures on material topics ,3-3,Management of material topics,Sustainability Report – Climate Change,2023 Sustainability Report (page 160-174),,
,,,,,,GRI 201: Economic Performance,201-2,Financial implications and other risks and opportunities due to climate change,Sustainability Report – Climate Change - Our Climate-Related Risks and Opportunities,2023 Sustainability Report (page 172-174),,
,,,,,,GRI 302: Energy 2016,302-1,Energy consumption within the organisation,Sustainability Report – Climate Change - Our Climate-Related Risks and Opportunities,2023 Sustainability Report (page 172-174),,
,,,,,,,,,Sustainability Performance Data Tables - Energy Consumption,2023 Sustainability Performance Data Tables - Energy Consumption,,
,,,,,,,302-3,Energy intensity,,,Information unavailable/incomplete,MinRes will work on enhancing disclosures year-on-year to increase our alignment with the framework. 
,,,,,,,302-4,Reduction of energy consumption,,,Information unavailable/incomplete,MinRes will work on enhancing disclosures year-on-year to increase our alignment with the framework. 
,,,,,,,302-5,Reductions in energy requirements of products and services,,,Information unavailable/incomplete,MinRes will work on enhancing disclosures year-on-year to increase our alignment with the framework. 
,,,,,,GRI 305: Emissions 2016,305-1,Direct (Scope 1) GHG emissions,Sustainability Report – Climate Change - Our Climate-Related Risks and Opportunities,2023 Sustainability Report (page 172-174),,
,,,,,,,,,Sustainability Performance Data Tables - GHG Emissions ,2023 Sustainability Performance Data Tables - GHG Emissions,,
,,,,,,,305-2,Energy indirect (Scope 2) GHG emissions,Sustainability Report – Climate Change - Our Climate-Related Risks and Opportunities,2023 Sustainability Report (page 172-174),,
,,,,,,,,,Sustainability Performance Data Tables - GHG Emissions ,2023 Sustainability Performance Data Tables - GHG Emissions,,
,,,,,,,305-3,Other indirect (Scope 3) GHG emissions,,,Information unavailable/incomplete,MinRes will work on enhancing disclosures year-on-year to increase our alignment with the framework. 
,,,,,,,305-4,GHG emissions intensity,Sustainability Report – Climate Change - Our Climate-Related Risks and Opportunities,2023 Sustainability Report (page 172-174),,
,,,,,,,,,Sustainability Performance Data Tables - GHG Emissions ,2023 Sustainability Performance Data Tables - GHG Emissions,,
,,,,,,,305-5,Reduction of GHG emissions,,,Information unavailable/incomplete,"MinRes is targeting net zero operational emissions by 2050 and  progresses appropriate mitigation and management strategies. 

MinRes will work on enhancing disclosures year-on-year to increase our alignment with the framework. "
,,,,,,,305-6,Emissions of ozone-depleting substances (ODS),,,Information unavailable/incomplete,MinRes will work on enhancing disclosures year-on-year to increase our alignment with the framework. 
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,Topics not considered material ,,,,,,
,,,,,,MinRes reports on topics considered material to the Company as per our materiality identification process,,,,,,
,,,,,,Non-Material Topics,417,Marketing and labelling,,,,
,,,,,,,416,Customer health and safety,,,,
,,,,,,,301,Materials,,,,
